"pack","level","capability","map_name","map_size","map_fit","tools","agent_force","enemy_force","enemy_threat_schedule","briefing_RA","win_condition","lose_condition","max_turns","tick_budget","production_buildings_required","force_composition_required","wrong_arm_traps"
"f11-vertical-strike-ground-air","easy","reasoning","f11-vertical-strike-ground-air-arena","96x40","wide-justified","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop","Western base @(8,20) — Construction Yard, Power Plant, Ore Refinery and 1 starter harvester (unarmed ore-collector truck). $4500 starting cash.","Enemy base @(85,20) — Construction Yard + Power Plant + 1 rifleman picket (Defend stance). Light static garrison; sentinel fact @(94,38).","static garrison only (easy = no scheduled waves; the test is the build-then-strike chain itself)","Commander, this is a vertical-strike rehearsal: you must build BOTH a ground production line AND an air production pad, field at least two medium tanks AND one helicopter, AND raze at least two enemy buildings — all inside about 90 turns. Your western base at (8,20) has a Construction Yard, Power Plant, Ore Refinery and one starter harvester (an unarmed ore-collector truck). Cash on hand: 4500. An enemy base sits at (85,20), 77 cells east, lightly guarded by a single rifleman. The chain must happen in order: production buildings up before units are counted; units up before the kills are counted.","Build weap (War Factory) AND hpad (Helipad), field ≥2 medium tanks AND ≥1 helicopter, raze ≥2 enemy buildings, within 8000 ticks. Western Construction Yard must survive.","Western Construction Yard destroyed, all units dead, or deadline (8001 ticks).","90","8103","weap, hpad","≥2× 2tnk + ≥1× heli","all-ground LOSES (kill bar requires hpad+heli production gate, which never latches); all-air LOSES (kill bar requires weap+2tnk production gate); stall LOSES (deadline; no production)"
"f11-vertical-strike-ground-air","medium","reasoning","f11-vertical-strike-ground-air-arena","112x40","wide-justified","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop","Western base @(8,20) — Construction Yard, Power Plant, Ore Refinery and 2 starter harvesters. $5500 starting cash.","Enemy base @(100,20) — Construction Yard + Power Plant + Barracks + 2× rifle + 1× rocket-soldier picket (Defend); sentinel fact @(110,38). Scheduled hunt-tank wave (3× medium tank) @ tick 1500.","static garrison + scheduled_events hunt-tank wave (3× 2tnk) @ tick 1500 (medium escalation)","Commander, this is a vertical strike against a heavier enemy garrison with a mid-game hunt-tank raid. You must build BOTH a war factory AND a helipad, field at least three medium tanks AND one helicopter, AND raze at least two enemy buildings, all inside about 110 turns. Your western base at (8,20) holds a Construction Yard, Power Plant, Ore Refinery and two starter harvesters. Cash on hand: 5500. An enemy base sits at (100,20), 92 cells east, defended by riflemen, a rocket soldier, and a hunt-tank raid that arrives mid-game around tick 1500. The chain must happen in order: production buildings before units, units before kills.","Build weap AND hpad, field ≥3 medium tanks AND ≥1 helicopter, raze ≥2 enemy buildings, within 9900 ticks. Western Construction Yard must survive.","Western Construction Yard destroyed, all units dead, or deadline (9901 ticks).","110","9903","weap, hpad, fix","≥3× 2tnk + ≥1× heli","all-ground LOSES (no air production); all-air LOSES (no ground production AND the scheduled tank raid overruns base without ground defense); stall LOSES (deadline + raid breach)"
"f11-vertical-strike-ground-air","hard","reasoning","f11-vertical-strike-ground-air-arena","112x40","wide-justified","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop","Seed-rotated western base: sp0 NORTH @(8,12) or sp1 SOUTH @(8,28). Each spawn: Construction Yard + Power Plant + Ore Refinery + 2 starter harvesters. $6500 starting cash.","Enemy base @(100,20) — Construction Yard + Power Plant + Barracks + Helipad-marker + 3× rifle + 2× rocket-soldier picket + 1× anti-air (Defend); sentinel fact @(110,38). Scheduled waves: hunt-tank (3× 2tnk) @ tick 1500; rocket-soldier rush (5× e3) @ tick 3000; hunt-heli (2× heli) @ tick 4500.","static garrison + scheduled_events: tank wave @ tick 1500 + rocket rush @ tick 3000 + heli intercept @ tick 4500 (hard tri-wave + enemy AA presence)","Commander, this is a vertical strike against a defended enemy base under continuous waves. You must build BOTH a war factory AND a helipad, field at least three medium tanks AND at least two helicopters, AND raze at least three enemy buildings, all inside about 140 turns. Your western base spawns NORTH (y=12) or SOUTH (y=28) by seed and holds a Construction Yard, Power Plant, Ore Refinery and two starter harvesters. Cash on hand: 6500. An enemy base sits at (100,20), defended by riflemen, rocket soldiers, an anti-air emplacement, and three timed waves — hunt-tanks around tick 1500, a rocket rush around tick 3000, helicopter interceptors around tick 4500. The chain must happen in order: production buildings before units, units before kills.","Build weap AND hpad, field ≥3 medium tanks AND ≥2 helicopters, raze ≥3 enemy buildings, within 12500 ticks. Western Construction Yard must survive.","Western Construction Yard destroyed, all units dead, or deadline (12501 ticks).","140","12513","weap, hpad, fix","≥3× 2tnk + ≥2× heli","all-ground LOSES (raid at tick 4500 is heli — only own heli can intercept; AND no hpad gate); all-air LOSES (enemy AA shreds heli without ground escort + scheduled tank raid breaches base); stall LOSES (waves overrun); single-heli LOSES (kill bar requires ≥2 heli surviving the AA)"
"f11-vertical-strike-naval","easy","reasoning","f11-vertical-strike-naval-arena","112x40","wide-justified","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop","Western coastal base @(10,20) — Construction Yard, Power Plant, Ore Refinery and 1 starter harvester. $4500 starting cash. Water channel along x=22..24 (3-cell-wide vertical band).","Enemy positions: coastal building (Barracks) @(28,8) standing two cells inland of the east shoreline; sentinel fact @(108,38). Light static defense (1× rifleman @ coast).","static garrison only (easy = no waves; the test is the dual-arm chain — ground inland + naval shore-strike)","Commander, this is a coastal vertical strike. You must build BOTH a war factory AND a shipyard, field at least two medium tanks AND one destroyer (a naval warship that floats on water and cannot move onto land), AND raze at least two enemy buildings, all inside about 100 turns. Your western base at (10,20) sits west of a vertical water channel running from x=22 to x=24. Cash on hand: 4500. The enemy has a coastal Barracks at (28,8) just east of the shoreline (a destroyer's gun reaches it from the water) AND a deep-inland Construction Yard further east, beyond any naval range. A shipyard must be built ADJACENT to a water cell to function. The chain must happen in order: production buildings before units, units before kills.","Build weap AND syrd (Shipyard), field ≥2 medium tanks AND ≥1 destroyer, raze ≥2 enemy buildings (coastal AND inland), within 9000 ticks. Western Construction Yard must survive.","Western Construction Yard destroyed, all units dead, or deadline (9001 ticks).","100","9003","weap, syrd","≥2× 2tnk + ≥1× dd","all-ground LOSES (kill bar requires syrd+dd production gate; never latches); all-navy LOSES (destroyer can't range deep-inland building — kill clause requires BOTH coastal AND inland razed); stall LOSES (deadline)"
"f11-vertical-strike-naval","medium","reasoning","f11-vertical-strike-naval-arena","112x40","wide-justified","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop","Western coastal base @(10,20) — Construction Yard, Power Plant, Ore Refinery and 2 starter harvesters. $5500 starting cash. Water channel x=22..24.","Enemy positions: coastal Barracks @(28,8) and coastal Power Plant @(28,32) on the east shoreline; deep-inland Construction Yard @(95,20); sentinel fact @(108,38). Static defense (1× rocket @ each coastal building, 2× rifle @ inland base). Scheduled enemy-rusher wave (2× medium tank) @ tick 1800 from the inland base.","static garrison + scheduled_events rusher (2× 2tnk) @ tick 1800 (medium escalation; tanks closing from the east overland)","Commander, this is a coastal vertical strike against a heavier garrison with a mid-game tank raid. You must build BOTH a war factory AND a shipyard, field at least three medium tanks AND one destroyer, AND raze at least three enemy buildings, all inside about 130 turns. Your western base at (10,20) sits west of a vertical water channel from x=22 to x=24. Cash on hand: 5500. The enemy holds two coastal buildings just east of the shoreline (in destroyer range) and a deep-inland Construction Yard at (95,20) past any naval range. A tank raid lands around tick 1800. A shipyard must be built ADJACENT to a water cell to function. The chain must happen in order: production buildings before units, units before kills.","Build weap AND syrd, field ≥3 medium tanks AND ≥1 destroyer, raze ≥3 enemy buildings (≥1 coastal + ≥1 inland), within 11700 ticks. Western Construction Yard must survive.","Western Construction Yard destroyed, all units dead, or deadline (11701 ticks).","130","11703","weap, syrd, fix","≥3× 2tnk + ≥1× dd","all-ground LOSES (no syrd gate AND tank raid plus no ranged shore-strike means coastal buildings hard to crack); all-navy LOSES (can't kill inland AND the overland tank raid breaches base without ground defense); stall LOSES (deadline + raid breach)"
"f11-vertical-strike-naval","hard","reasoning","f11-vertical-strike-naval-arena","128x40","wide-justified","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop","Seed-rotated western coastal base: sp0 NORTH @(10,12) or sp1 SOUTH @(10,28). Each spawn: Construction Yard + Power Plant + Ore Refinery + 2 starter harvesters. $6500 starting cash. Water channel x=22..25 (4-cell band).","Enemy positions: coastal Barracks @(29,8), coastal Power Plant @(29,32), coastal Defense Turret (gun) @(29,20), deep-inland Construction Yard @(110,20), inland Service Depot @(110,12); sentinel fact @(124,38). Picket: 2× rocket @ each coastal building, 3× rifle + 1× rocket @ inland. Scheduled waves: rusher tanks (3× 2tnk) @ tick 1800; rocket-soldier rush (4× e3) @ tick 3500.","static garrison incl. coastal AA-capable turret + scheduled_events: tank rusher @ tick 1800 + rocket rush @ tick 3500 (hard dual-wave + coastal turret menaces dd in range)","Commander, this is a coastal vertical strike against a defended enemy base under timed waves. You must build BOTH a war factory AND a shipyard, field at least three medium tanks AND at least two destroyers, AND raze at least four enemy buildings (with at least one coastal AND at least one deep-inland), all inside about 160 turns. Your western base spawns NORTH (y=12) or SOUTH (y=28) by seed and sits west of a 4-cell water channel from x=22 to x=25. Cash on hand: 6500. The enemy holds three coastal buildings (one is a defense turret that fires on naval targets in range), two deep-inland buildings past naval reach, and lands two timed waves — a tank rusher around tick 1800 and a rocket rush around tick 3500. A shipyard must be built ADJACENT to a water cell. The chain must happen in order: production buildings before units, units before kills.","Build weap AND syrd, field ≥3 medium tanks AND ≥2 destroyers, raze ≥4 enemy buildings (≥1 coastal + ≥1 inland), within 14500 ticks. Western Construction Yard must survive.","Western Construction Yard destroyed, all units dead, or deadline (14501 ticks).","160","14403","weap, syrd, fix","≥3× 2tnk + ≥2× dd","all-ground LOSES (no naval gate + coastal turret denies overland approach near the shore); all-navy LOSES (inland buildings outside range AND the inland-tank raid overruns base without ground defense); single-dd LOSES (coastal defense turret kills a lone destroyer before kill bar latches); stall LOSES (waves overrun)"
"f11-full-combined-arms","easy","reasoning","f11-full-combined-arms-arena","128x40","wide-justified","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop","Western coastal base @(10,20) — Construction Yard, Power Plant, Ore Refinery and 2 starter harvesters. $6000 starting cash. Water channel x=22..24 (3-cell band).","Three enemy positions: coastal Barracks @(28,8); midfield Power Plant @(70,20); deep-inland Construction Yard @(115,20). Sentinel fact @(125,38). Light static defense (1× rifleman per building).","static garrison only (easy = no waves; the test is the three-arm chain itself)","Commander, this is a full combined-arms strike. You must build a war factory, a helipad, AND a shipyard; field at least one medium tank, one helicopter, AND one destroyer; AND raze at least three enemy buildings, all inside about 130 turns. Your western base at (10,20) sits west of a 3-cell water channel from x=22 to x=24. Cash on hand: 6000. The enemy occupies three positions spread east: a coastal Barracks at (28,8), a midfield Power Plant at (70,20), and a deep-inland Construction Yard at (115,20). Each is lightly guarded. A shipyard must be built ADJACENT to a water cell. The chain must happen in order: production buildings before units, units before kills.","Build weap AND hpad AND syrd, field ≥1 medium tank AND ≥1 helicopter AND ≥1 destroyer, raze ≥3 enemy buildings, within 11700 ticks. Western Construction Yard must survive.","Western Construction Yard destroyed, all units dead, or deadline (11701 ticks).","130","11703","weap, hpad, syrd","≥1× 2tnk + ≥1× heli + ≥1× dd","single-arm LOSES (no matter which arm; kill bar requires THREE production gates AND THREE arm types in force); stall LOSES (deadline)"
"f11-full-combined-arms","medium","reasoning","f11-full-combined-arms-arena","128x40","wide-justified","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop","Western coastal base @(10,20) — Construction Yard, Power Plant, Ore Refinery and 2 starter harvesters. $7000 starting cash. Water channel x=22..24.","Three enemy positions: coastal Barracks @(28,8) + 1× rocket; midfield Power Plant @(70,20) + 1× rocket + 1× anti-air; deep-inland Construction Yard @(115,20) + 2× rifle. Sentinel fact @(125,38). Scheduled mixed wave (2× 2tnk + 1× heli) @ tick 2000.","static garrison + mid-tier AA + scheduled_events mixed wave (2× 2tnk + 1× heli) @ tick 2000 (medium escalation; cross-arm pressure)","Commander, this is a full combined-arms strike against a defended enemy spread with a mid-game mixed raid. You must build a war factory, a helipad, AND a shipyard; field at least two medium tanks, one helicopter, AND one destroyer; AND raze at least three enemy buildings, all inside about 150 turns. Your western base at (10,20) sits west of a 3-cell water channel from x=22 to x=24. Cash on hand: 7000. The enemy holds a coastal Barracks at (28,8), a midfield Power Plant at (70,20) with an anti-air emplacement, and a deep-inland Construction Yard at (115,20). A mixed tank-and-helicopter raid lands around tick 2000. A shipyard must be built ADJACENT to a water cell. The chain must happen in order: production buildings before units, units before kills.","Build weap AND hpad AND syrd, field ≥2 medium tanks AND ≥1 helicopter AND ≥1 destroyer, raze ≥3 enemy buildings, within 13500 ticks. Western Construction Yard must survive.","Western Construction Yard destroyed, all units dead, or deadline (13501 ticks).","150","13503","weap, hpad, syrd, fix","≥2× 2tnk + ≥1× heli + ≥1× dd","all-ground LOSES (kill bar needs hpad+syrd gates); all-air LOSES (midfield AA + mixed wave heli; AND no syrd gate); all-navy LOSES (midfield + inland out of range); single-arm + 1 token = same — only true three-arm builds win; stall LOSES (raid breach)"
"f11-full-combined-arms","hard","reasoning","f11-full-combined-arms-arena","128x48","wide-justified","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop","Seed-rotated western coastal base: sp0 NORTH @(10,16) or sp1 SOUTH @(10,32). Each spawn: Construction Yard + Power Plant + Ore Refinery + 2 starter harvesters. $8000 starting cash. Water channel x=22..25 (4-cell band).","Four enemy positions: coastal Barracks @(29,10) + 2× rocket; coastal AA turret (gun) @(29,38); midfield Service Depot @(70,24) + 1× rocket + 1× anti-air; deep-inland Construction Yard @(115,16) + deep-inland Power Plant @(115,32) + 3× rifle + 1× rocket. Sentinel fact @(126,46). Scheduled waves: mixed (3× 2tnk + 1× heli) @ tick 2000; coastal raid (2× dd from enemy syrd) @ tick 3500; rocket rush (5× e3) @ tick 5000.","static garrison incl. coastal AA + midfield AA + scheduled_events tri-wave: mixed @ 2000 + naval raid @ 3500 + rocket rush @ 5000 (hard; all three threat domains live concurrently)","Commander, this is a full combined-arms strike against a defended enemy spread under continuous waves. You must build a war factory, a helipad, AND a shipyard; field at least three medium tanks, two helicopters, AND two destroyers; AND raze at least four enemy buildings, all inside about 180 turns. Your western base spawns NORTH (y=16) or SOUTH (y=32) by seed and sits west of a 4-cell water channel from x=22 to x=25. Cash on hand: 8000. The enemy holds two coastal positions (one is a defense turret), a midfield Service Depot with anti-air, and two deep-inland buildings. Three waves arrive — mixed armour-and-helicopter around tick 2000, a coastal naval raid around tick 3500, and a rocket rush around tick 5000. A shipyard must be built ADJACENT to a water cell. The chain must happen in order: production buildings before units, units before kills.","Build weap AND hpad AND syrd, field ≥3 medium tanks AND ≥2 helicopters AND ≥2 destroyers, raze ≥4 enemy buildings, within 16000 ticks. Western Construction Yard must survive.","Western Construction Yard destroyed, all units dead, or deadline (16001 ticks).","180","16203","weap, hpad, syrd, fix","≥3× 2tnk + ≥2× heli + ≥2× dd","any single-arm LOSES (one of the three production gates never latches); two-arm LOSES (the third arm gate never latches; AND the missing-arm-coverage wave overruns base); stall LOSES (tri-wave overrun)"
"f11-econ-tech-army-strike","easy","reasoning","f11-econ-tech-army-strike-arena","96x40","fit","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop","Western base @(8,20) — Construction Yard, Power Plant, Ore Refinery and 1 starter harvester. $3500 starting cash.","Enemy base @(82,20) — Construction Yard + Power Plant + 1× rifleman picket (Defend stance); sentinel fact @(92,38).","light static garrison only (easy = no scheduled waves; tests pure 4-phase econ→tech→army→strike arc)","Commander, this is a four-phase operational arc: econ to fund, tech to enable, army to mass, strike to win. You are given a western base at (8,20) — Construction Yard, Power Plant, Ore Refinery and one starter harvester. Cash on hand: 3500. The enemy holds a Construction Yard at (82,20), 74 cells east, guarded by a single rifleman. Win bar: stand up the production chain, field at least four medium tanks, AND raze the enemy Construction Yard, all inside about 100 turns. The chain must happen in order: production buildings before units, units before the strike.","Build weap, field ≥4 medium tanks, raze enemy Construction Yard, within 9000 ticks. Western Construction Yard must survive.","Western Construction Yard destroyed, all units dead, or deadline (9001 ticks).","100","9003","weap, fix","≥4× 2tnk","over-econ (≥3 procs, no army) LOSES (cash piles, no production gate); over-tech (weap + fix + dome but no tanks) LOSES (army clause never latches); stall LOSES (deadline)"
