"pack","level","capability","map_name","map_size","map_fit","tools","agent_force","enemy_force","enemy_posture","posture_issue","briefing_RA","win_condition","lose_condition","max_turns","tick_budget"
"def-bridge-chokepoint","easy","action","bridges-arena 128x40","128x40","large-trivial","observe, move_units, attack_unit, attack_move, stop, set_stance","6× rifle infantry defenders @(60-65,30) on HOLD-FIRE (will NOT shoot until ordered); 1× Construction Yard @(10,33) + Power Plant","6× rifle infantry attackers @(60-65,4) on Attack-Anything; far-east sentinel Construction Yard","attackers st3 (Attack-Anything), defenders st0 (HoldFire); intentional — stance flip is the test","","Commander, this is a single-bridge chokepoint defence. A water band cuts the map east-to-west at y=18..21 with one bridge at x=62..65. Your Construction Yard sits far west at (10,33). Six riflemen are pre-staged just south of the centre bridge at (60-65, 30) on HOLD-FIRE — they will NOT engage even if shot at. Six enemy riflemen attack from the north over the same bridge. Flip your defenders to Defend stance and move them onto the bridge mouth before the attackers cross. Kill four, keep the Construction Yard, within about 30 turns.","≥4 kills AND Construction Yard standing, within 2700 ticks.","Construction Yard destroyed, or deadline (2701 ticks).","35","3153"
"def-bridge-chokepoint","medium","action","bridges-arena 128x40","128x40","large-trivial","observe, move_units, attack_unit, attack_move, stop, set_stance","12× rifle infantry defenders @(58-65,30-31) HOLD-FIRE; Construction Yard @(10,33); 3× Ore Refinery @(30,26)/(62,26)/(94,26)","18× rifle infantry attackers (6 per bridge) @(28-33/60-65/92-97, 4) st3","attackers st3, defenders st0; intentional","","Commander, this is a three-bridge chokepoint defence. The water band at y=18..21 is crossed by three bridges at x=30, 62, 94. ONE Ore Refinery (your ore refinery) sits behind EACH bridge — if any bridge is uncontested, the attackers there destroy its refinery and you lose. Twelve defenders are centred at the middle bridge on HOLD-FIRE; you must split them three ways, flip stance, and intercept at ALL three bridges. Kill eight, keep all three refineries AND the Construction Yard, within about 35 turns.","≥8 kills AND all 3 refineries alive AND Construction Yard standing, within 3150 ticks.","Any refinery or the Construction Yard destroyed, or deadline (3151 ticks).","40","3603"
"def-bridge-chokepoint","hard","action","bridges-arena 128x40","128x40","large-trivial","observe, move_units, attack_unit, attack_move, stop, set_stance","15× rifle infantry defenders @(58-65,30-31) HOLD-FIRE; Construction Yard + 3 refineries (same as medium)","21× rifle infantry attackers (7 per bridge) @ same x bands, y=4, st3","attackers st3, defenders st0; intentional","","Commander, this is a three-bridge chokepoint defence at heavier weight. Three bridges (x=30, 62, 94) cross the water at y=18..21; one Ore Refinery sits behind each. Fifteen defenders are centred on HOLD-FIRE. Twenty-one attackers (seven per bridge) charge from the north. Split into thirds, flip stance, and intercept at all three crossings before the budget bites. Kill twelve, keep all three refineries AND the yard, within about 40 turns.","≥12 kills AND all 3 refineries alive AND Construction Yard standing, within 3600 ticks.","Any refinery or the Construction Yard destroyed, or deadline (3601 ticks).","45","4053"
"def-counter-battery","easy","reasoning","arena 112x40","112x40","fit","observe, move_units, attack_unit, attack_move, stop","4× medium tank @(10, 16/18/22/24) Return-Fire + 2× pillbox @(16,19)/(16,23) + Construction Yard @(20,21)","15× rifle infantry screen @(23/25/27, 15-23) on HoldFire + 2× artillery @(27, 20/22) on Defend (out-ranges your pillboxes); sentinel fact @(100,21)","screen st0 HoldFire, artillery st2 Defend (auto-fires on the in-range yard); intentional — passive screen ensures the doctrine test is target prioritisation, not screen-grind survivability","","Commander, this is a counter-battery strike. Your Construction Yard at (20,21) is ringed by two pillboxes (stationary anti-infantry turrets, range 5 cells) and four medium tanks stage just west at x=10. Fifteen enemy riflemen on hold-fire screen the centre at x=23-27; two long-range artillery pieces at x=27 are already shelling your yard from range 7 — your pillboxes cannot reach them. Drive the tanks STRAIGHT THROUGH the passive screen and destroy BOTH guns FIRST; grinding the screen while the artillery keeps firing loses the yard. Twelve kills, yard intact, within about 30 turns.","≥12 kills AND Construction Yard standing, within 2700 ticks.","Construction Yard destroyed, all tanks dead, or deadline (2701 ticks).","30","2703"
"def-counter-battery","medium","reasoning","arena 112x40","112x40","fit","observe, move_units, attack_unit, attack_move, stop","6× medium tank @(10, 16/18/20/22/24/26) RF + 3× pillbox @(16,19/21/23) + Construction Yard @(20,21)","21× rifle infantry screen + 3× artillery @(27, 19/21/23) Defend","screen st0, artillery st2; intentional","","Commander, this is a counter-battery strike against a heavier battery. Your yard at (20,21) is ringed by three pillboxes; six medium tanks stage west at x=10. A deep 21-rifle screen on hold-fire backs three long-range artillery at x=27 that out-range your pillboxes and are shelling the yard. The three-gun battery razes the yard FASTER than the two-gun easy case. Drive the tanks through the screen and silence ALL THREE guns first; clean the screen afterwards. Fourteen kills, yard intact, within about 30 turns.","≥14 kills AND Construction Yard standing, within 2700 ticks.","Construction Yard destroyed, all tanks dead, or deadline (2701 ticks).","30","2703"
"def-counter-battery","hard","reasoning","arena 112x40","112x40","fit","observe, move_units, attack_unit, attack_move, stop","6× 2tnk + 3× pillbox + Construction Yard staged NORTH (y≈14) or SOUTH (y≈28) by seed","21× rifle screen + 3× artillery matching the agent latitude, on st0/st2","screen st0, artillery st2; intentional","","Commander, this is a counter-battery strike with seed-rotated staging. Your yard, three pillboxes, and six medium tanks stage in the NORTH band (y=14) or SOUTH band (y=28) depending on seed — the whole base and the matching enemy formation flip together. Twenty-one rifles screen three long-range artillery pieces at your latitude; the guns are already shelling your yard from outside pillbox range. Same doctrine: drive through the passive screen, silence ALL THREE guns first, then sweep the rifles. Fourteen kills, yard intact, within about 30 turns.","≥14 kills AND Construction Yard standing, within 2700 ticks.","Construction Yard destroyed, all tanks dead, or deadline (2701 ticks).","30","2703"
"def-engineer-repair-under-fire","easy","action","rush-hour-arena","128x40","large-trivial","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop, repair","Forward Ore Refinery @(10,8) + 6× rifle defenders @(12,10) HoldFire + pillbox @(14,16) (decoy lane) + Service Depot @(14,12); Construction Yard tucked safely @(40,36)","2× grenadiers + 3× rifle attackers @(10/12, 4) st3 closing on the forward refinery; sentinel fact @(120,20)","attackers rusher bot st3; defenders st0 HoldFire intentional (the commit verb is the test)","","Commander, this is a disaster-recovery triage drill. Your refinery (ore refinery) is pushed forward at (10,8) and is taking focused grenade damage from a band of two grenadiers plus three riflemen closing from the north. Six rifle defenders stand next to the refinery on HOLD-FIRE — they will NOT engage on their own. A pillbox covers a different (south-east) lane and cannot reach the attack vector. Your Construction Yard is tucked safely at (40,36). Toggle REPAIR on the refinery so autorepair tops it up against the grenade salvos AND commit the defenders (an attack order auto-fires them en route even from HoldFire). Four kills, refinery AND yard standing, within about 32 turns.","Refinery AND Construction Yard standing AND ≥4 kills, within 2800 ticks.","Refinery or Construction Yard destroyed, or deadline (2801 ticks).","50","4503"
"def-engineer-repair-under-fire","medium","action","rush-hour-arena","128x40","large-trivial","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop, repair","Same forward refinery + 6× defenders HoldFire + decoy pillbox + Service Depot + safe Construction Yard","3× grenadiers + 4× rifle attackers @(10/12, 4) st3 — heavier attrition","rusher st3; defenders st0 intentional","","Commander, this is a disaster-recovery triage drill with heavier attrition. Three grenadiers and four riflemen close on the same forward refinery (ore refinery) at (10,8). Six HoldFire defenders are pre-placed next to it; the pillbox covers an off-axis lane; the Construction Yard is tucked safely at (40,36). Toggle REPAIR on the refinery the moment damage shows AND commit the defenders to engage the band. Six kills, refinery AND yard standing, within about 30 turns. The grenadier chip rate beats the refinery's HP without repair; the kill bar is unmet without offensive commitment.","Refinery AND Construction Yard standing AND ≥6 kills, within 2700 ticks.","Refinery or Construction Yard destroyed, or deadline (2701 ticks).","50","4503"
"def-engineer-repair-under-fire","hard","action","rush-hour-arena","128x40","large-trivial","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop, repair","Base mirrored across two spawn_point groups: NORTH (y=8) or SOUTH (y=32) base layout by seed","TWO attrition vectors: grenadier+rifle bands at y=2 AND y=38 (both always place); on-latitude band converges on the active refinery","rusher st3; defenders st0 intentional","","Commander, this is a disaster-recovery triage drill with seed-rotated staging. Your base — forward refinery, six HoldFire defenders, off-axis pillbox, depot, safe Construction Yard — stages in either the NORTH (y=8) or SOUTH (y=32) band by seed. Two grenadier-led attrition vectors hit from opposite latitudes; the on-latitude band converges on your active refinery, the off-latitude band drifts inward later. Toggle REPAIR on the refinery as it bleeds AND commit defenders to whichever vector is live. Six kills, refinery AND yard standing, within about 30 turns.","Refinery AND Construction Yard standing AND ≥6 kills, within 2700 ticks.","Refinery or Construction Yard destroyed, or deadline (2701 ticks).","50","4503"
"def-evacuation","easy","reasoning","rush-hour-arena","128x40","fit","observe, move_units, attack_unit, attack_move, stop","5× medium tank @(10, 8-12) on Return-Fire at the north shoulder of the doomed base; Construction Yard + Ore Refinery @(10/13, 20)","2× heavy tank + 4× rocket infantry @(16-18, 18-22) on Attack-Anything (guard bot — holds post, leashes at ~18 cells); sentinel fact @(125,20)","guard bot st3 (holds post + lunges within ~16, leashes past ~18); matches the briefing — the heavies don't chase the EVAC column past x≈35","","Commander, this is a strategic evacuation. Your base at (10,20) — Construction Yard plus Ore Refinery — is being overrun by two heavy tanks and four anti-tank rocket soldiers; they're in firing range on turn 1 and the base WILL fall. You have five medium tanks staged at the north shoulder of the base at (10, 8-12). A safe muster zone is at (90,12) on the far east, well beyond the enemy's leash range. Don't try to hold — abandon the base on turn 1, run the tanks east along the north corridor to the safe disc. Three tanks inside radius 6 of (90,12), three still alive, within about 30 turns. Losing the base is NOT a fail; failing to evacuate is.","≥3 tanks inside (90,12) r=6 AND ≥3 tanks alive, within 2700 ticks.","Fewer than 1 tank alive, or deadline (2701 ticks).","50","4503"
