pack,easy_outcome,medium_outcome,hard_wins,hard_losses,hard_draws,failure_bucket,subbucket,evidence,recommendation
action-multiunit-coordination,win(4/4),win(1/1),2,2,0,OUR-CONFIG,B.1,"hard seed 3: ALL 3 region predicates satisfied at turn 32 tick 2853 with 0 units lost, but within_ticks:2800 burst by 53 ticks; hard adds objective_coords:relative + fogged interrupts vs medium yet keeps the same 2800-tick budget","Raise hard within_ticks/max_turns by ~15-20% (e.g. 3300 ticks / 42 turns) to absorb the per-turn scout cost the fogged interrupt mode adds; same scenario fully solved otherwise."
action-sequenced-execution,win(1/1),win(1/1),0,0,4,MODEL-STRATEGY,A.2,"hard seeds 1-4 all draw at turn 70/70; seed 1 trace: 153 MoveUnits + 3 Observe over 71 turns, units oscillating (target_x=15,y=15 after final scout); 37 actions_warned (24%) indicates format/order churn; obj_progress=0.5 (one route done)","Pack sound (interrupts work, easy/medium WIN); model fails to commit to the labelled directions sequentially. No CONFIG action."
combat-attack-from-behind-fog,win(1/1),loss(0/1),3,1,0,MODEL-STRATEGY,A.2,"hard seed 3: model drove all 4 units straight along y=24 (the centre lane) at turns 1-6, lost 2 units to the fogged centre garrison, instant fail on not own_units_gte:3 at turn 8 tick 378; briefing says ATTACK FROM BEHIND via fog flank","Pack sound — 3/4 hard seeds WON. Single-seed model error."
combat-divide-and-conquer,win(1/1),loss(0/1),1,3,0,MODEL-STRATEGY,A.2,"hard seed 1 close: killed 8/9, but lost 2 of 4 starters → own_units_gte:3 fail; seeds 2/4: killed only 3-6 of 9 with 2 lost; model walks frontally instead of splitting and rolling each flank","Pack sound (kill quota reachable in 3000 ticks; one seed WON). Model fails to divide; close enough that a stronger model would clear all 4 seeds."
combat-formation-tank-wedge,win(1/1),win(1/1),2,2,0,MIXED,A.2+B.1,"seed 2: brute-rush, 3/5 units lost in 14 turns, 1 kill; seed 4: pacing failure — region reached, 4 units alive, but within_ticks:4500 burst by 33 ticks at tick 4533; killed only 0/4","Two distinct failures: seed 4 is a CONFIG close-miss deadline (+2% would have won); seed 2 is MODEL brute-charge. Bump within_ticks to 4800 to absorb seed-4 pacing variance."
combat-prevent-retreat,loss(0/1),win(1/1),3,1,0,MODEL-STRATEGY,A.2,"hard seed 2: 17 AttackMove commands, only 1 kill, 2/4 units lost → own_units_gte:3 fail; the briefing says 'block retreat' but model AttackMoved into the open instead of holding a chokepoint","Pack sound (3/4 hard WON). Model executes a vague AttackMove sweep instead of intercepting the retreat axis."
combat-protect-vip-escort,win(1/1),loss(0/1),3,1,0,MODEL-STRATEGY,A.1,"hard seed 3: 9 Observes / 20 turns (45% passivity), 5 units lost incl. harv VIP at turn 19, instant fail on unit_type_count_gte:harv,1; model OBSERVED through 4 final turns while escort died","Pack sound (3/4 hard WON). Model freezes when the escort takes pressure."
combat-skirmish-then-disengage,win(1/1),win(1/1),1,3,0,MODEL-STRATEGY,A.2,"hard seed 1: model attack-moved into combat (8 AttackMove), lost all 4 units killing 0, never returned to extraction region; doctrine is hit-and-run","Pack sound (1/4 hard WON, easy+medium WON). Model never disengages — the 'then-disengage' half of the doctrine is ignored."
combat-tank-vs-tank-engagement,win(1/1),loss(0/1),1,3,0,MIXED,A.4+B.1,"seed 2: killed 2/3 at turn 15/15 (max_turns hit) with all 3 units alive — burst within_ticks:1200 by 63 ticks; max_turns:15 is very tight for a 3-kill quota and the model wasted 2 turns on Observe","Either bump max_turns to 18-20 (matching ~1500 ticks) to give the model recovery room, OR accept as MODEL — seed 1 WON so capability is reachable. Lean CONFIG (15 turns is the tightest budget in any candidate pack)."
combat-target-priority-highvalue,win(1/1),loss(0/1),2,1,1,MODEL-STRATEGY,A.1,"hard seed 1: 10 Observes / 18 turns (56% passivity), 1 kill of 15 required, 2/4 units lost → fail on own_units_gte:3 at turn 17; model never engaged the high-value targets","Pack sound (seeds 2/4 WON, seed 3 drew). Model passivity is the failure mode; pack discriminates target-priority reasoning."
combat-vehicle-vs-infantry-counter,win(1/1),loss(0/1),0,4,0,OUR-CONFIG,B.4,"every hard seed loses; seed 1: jeep died at HP 0.066 at turn 4 tick 363, instant fail on not own_units_gte:1 even though the agent has a full starter base + $1951 in queue; the scout jeep is the ONLY pre-spawn UNIT and the briefing explicitly tells the agent to scout with it","Either (a) pre-spawn a single e1/2tnk garrison alongside the jeep to keep own_units≥1 if the scout dies, or (b) replace the fail clause with 'not has_building:fact' alone; current clause punishes the scenario's own scripted doctrine."
harass-response-preserve,win(1/1),loss(0/1),0,3,0,MIXED,B.4+A.2,"all 3 completed hard seeds loss; seed 1: 5 e1 infantry attack-move toward (26,22), 2 die at turn 3 → instant fail on units_lost_lte:0; the zero-loss floor is the tightest in the pack family and triggers if the model misses any single micro","Loosen hard fail-clause to units_lost_lte:1 (one casualty allowed) — the briefing says 'preserve' but 0 deaths is a knife-edge that even competent micro can lose; OR keep clause but reduce enemy aggression density."
