"pack","level","capability","map_name","map_size","map_fit","tools","agent_force","enemy_force","enemy_posture","posture_issue","briefing_RA","win_condition","lose_condition","max_turns","tick_budget"
"spec-engineer-capture","easy","action","engineer-capture-easy-arena","80x36","fit","observe, move_units, attack_unit, capture_actor","1× engineer (unarmed capture specialist) @(16,18)","1× Ore Refinery (enemy proc) @(20,18); undefended","none (undefended target)","","Commander, this is a single-asset seizure. You are given one engineer — an unarmed specialist whose only useful action is to walk into an enemy structure and transfer its ownership to you, consuming the engineer in the process. An enemy Ore Refinery sits four cells east of your engineer on an open arena. The refinery has no defenders. Seize it within about 25 turns; the engineer carries no weapon and an attack order on the building is a no-op.","Agent owns a proc (i.e. the enemy refinery is captured), within 2000 ticks.","Deadline (2001 ticks).","25","2253"
"spec-engineer-capture","medium","action","engineer-capture-chokepoint-arena","112x40","fit","observe, move_units, attack_unit, capture_actor","1× engineer @(12,20) in the west lobe","1× Ore Refinery @(96,20) in the east lobe; undefended","none (undefended target; pathing test)","","Commander, this is a single-asset seizure across a chokepoint map. A vertical water wall splits the arena at x=52..60 with a single 4-cell corridor at y=18..21 — that corridor is the only route from west to east. You are given one engineer — an unarmed specialist whose only useful action is to walk into an enemy structure and transfer its ownership to you, consuming the engineer. The target Ore Refinery sits deep in the east lobe at (96,20); pathing finds the corridor automatically. Seize the refinery within about 35 turns.","Agent owns a proc, within 3000 ticks.","Deadline (3001 ticks).","35","3153"
"spec-engineer-capture","hard","action","engineer-capture-serpentine-arena","140x44","fit","observe, move_units, attack_unit, capture_actor","2× engineer @(10,22)/(10,23) (redundancy)","1× Ore Refinery @(128,20) far east; 1× enemy rifleman @(128,35) stance:2 (Defend) south of the refinery","static (st2 e1 defender south of objective)","NOTE: defender at (128,35) cannot reach engineer arriving from the north — geometry forces the safe approach. Intended.","Commander, this is a single-asset seizure across a serpentine map. Two staggered water-obstacle clusters force a snaking route across the middle band: the engineer must slip below the first cluster (upper-west) and above the second (lower-east) to reach an Ore Refinery on the far east at (128,20). One enemy rifleman stands south of the refinery on Defend stance — he covers a south approach but cannot range a unit arriving from the north. You are given two engineers for redundancy — unarmed specialists whose only useful action is to walk into an enemy structure and transfer its ownership to you, consuming the engineer. Seize the refinery within about 50 turns; the clock is tight.","Agent owns a proc, within 4000 ticks.","Deadline (4001 ticks).","50","4503"
"spec-nuke-strike","easy","action","spec-nuke-strike-arena 160x60","160x60","fit","observe, fire_superweapon","1× Nuclear Missile Silo (mslo) @(10,10) NW; 1× jeep spotter @(80,24) (HOLD-FIRE; cannot move or attack)","5× ore silo cluster @(78-82,30); 1× far enemy Construction Yard @(80,38) (engine keep-alive)","static (HoldFire spotter; enemy silos passive)","INTENTIONAL: enemy is passive scenery (the test is the strike, not combat).","Commander, this is a one-shot superweapon strike. You command a Nuclear Missile Silo at the north-west corner — the silo's missile finishes arming about 100 ticks into the mission. Far across the map sits a tight row of five enemy ore silos, and a friendly jeep already has eyes on them. The jeep cannot move and cannot attack — it is a spotter only. Read your observation, take the centroid of the silo cluster, and fire one missile at that cell. Destroy all five silos within about 22 turns.","≥5 enemy buildings destroyed, within 1800 ticks.","Deadline (1801 ticks).","22","1983"
"spec-nuke-strike","medium","action","spec-nuke-strike-arena 160x60","160x60","fit","observe, fire_superweapon","1× Nuclear Missile Silo @(10,10) NW; 1× jeep spotter @(130,49) (HOLD-FIRE)","6× ore silo cluster (5-in-a-row + 1) @(128-132,43)+(130,44); 1× far enemy Construction Yard @(130,51)","static (HoldFire spotter)","","Commander, this is a one-shot superweapon strike. You command a Nuclear Missile Silo at the north-west corner; the missile finishes arming about 100 ticks in. A dense cluster of six enemy ore silos sits in the south-east corner of the map and a friendly jeep is in eyeshot — the jeep cannot move and cannot attack. Read your observation, find the cluster centroid, fire one missile. All six silos in one shot, within about 22 turns.","≥6 enemy buildings destroyed, within 1800 ticks.","Deadline (1801 ticks).","22","1983"
"spec-nuke-strike","hard","action","spec-nuke-strike-arena 160x60","160x60","fit","observe, fire_superweapon","1× Nuclear Missile Silo @(10,10) (fixed across seeds); 1× jeep spotter @(140,17) sp0 NE or @(20,43) sp1 SW (HOLD-FIRE)","6× ore silo cluster — NE @(138-142,12)+(140,11) sp0 OR SW @(18-22,48)+(20,49) sp1; far enemy Construction Yard keep-alive per seed","static (HoldFire spotter)","","Commander, this is a one-shot superweapon strike with seed-rotated target placement. You command a Nuclear Missile Silo at the north-west corner; the missile finishes arming about 100 ticks in. A dense cluster of six enemy ore silos spawns in EITHER the north-east corner OR the south-west corner of the map depending on seed — read your observation to find which. A friendly jeep ships in with the cluster as a spotter (it cannot move or attack). Find the centroid, fire, take out all six silos in one shot, within about 22 turns.","≥6 enemy buildings destroyed, within 1800 ticks.","Deadline (1801 ticks).","22","1983"
"spec-spy-infiltrate","easy","action","spy-infiltrate-easy","112x40","fit","observe, move_units, attack_unit, infiltrate","1× spy (unarmed infiltrator) @(10,20) HOLD-FIRE","1× Ore Refinery @(14,20) close + 1× Power Plant @(100,6) + 1× Barracks @(105,30) + 1× Ore Silo @(108,18) — last three hidden in fog","none (no defenders)","","Commander, this is an intelligence-by-infiltration mission. You are given one spy — an unarmed infiltrator whose only useful action is to walk into an enemy building and trigger a one-shot intel scan: every structure owned by that operator is added to your map, surviving fog of war. The spy is consumed by the scan. An enemy Ore Refinery sits four cells east of your spy; two cover clusters flank the approach (north and south). Three more enemy structures are hidden in the eastern half of the map. Reveal at least four enemy structures within about 25 turns. The spy carries no weapon; an attack order is a no-op.","≥4 enemy buildings discovered, within 2000 ticks.","Deadline (2001 ticks), or spy destroyed.","25","2253"
"spec-spy-infiltrate","medium","action","spy-infiltrate-medium","112x40","fit","observe, move_units, attack_unit, infiltrate","1× spy @(10,20) HOLD-FIRE","1× Ore Refinery @(15,20) + 5 hidden enemy structures along east half (Power Plants, Barracks, Ore Silo, Construction Yard)","none (no defenders)","","Commander, this is an intelligence-by-infiltration mission with route choice. You are given one spy — an unarmed infiltrator whose only useful action is to walk into an enemy building and trigger a one-shot intel scan: every structure owned by that operator is added to your map, surviving fog. The spy is consumed by the scan. An enemy Ore Refinery sits five cells east of your spy; cover clusters flank the central lane to north and south. Five more enemy structures sit hidden in the eastern half of the map. Reveal at least six enemy structures within about 35 turns.","≥6 enemy buildings discovered, within 3000 ticks.","Deadline (3001 ticks), or spy destroyed.","35","3153"
"spec-spy-infiltrate","hard","action","spy-infiltrate-hard","128x40","fit","observe, move_units, attack_unit, infiltrate","2× spy @(11,18)/(11,22) HOLD-FIRE (redundancy)","1× Ore Refinery @(15,20) + 1× enemy rifleman @(18,32) stance:2 (Defend) covering south detour + 6 hidden enemy structures across east half","static (st2 e1 covering south detour)","NOTE: defender off the direct lane — punishes wander, not the intended beeline. Intended.","Commander, this is an intelligence-by-infiltration mission against a defended target. You are given two spies (redundancy) — unarmed infiltrators whose only useful action is to walk into an enemy building and trigger a one-shot intel scan: every structure owned by that operator is added to your map, surviving fog. Each spy is consumed by its scan. An enemy Ore Refinery sits five cells east, with cover clusters to north and south of the approach lane. One enemy rifleman is dug in well south of the refinery on Defend stance — his rifle ranges any wanderer that drifts south, but a direct walk along the central corridor stays outside his range. Six more enemy structures sit hidden in the eastern half. Reveal at least seven enemy structures within about 50 turns.","≥7 enemy buildings discovered, within 4000 ticks.","Deadline (4001 ticks), or no spy left.","50","4503"
"spec-tanya-c4-strike","easy","action","spec-tanya-c4-strike-arena 80x32","80x32","fit","observe, move_units, attack_unit, set_stance, c4_detonate","1× Tanya (elite commando, fast, anti-infantry pistol; C4 instantly demolishes a building on adjacency) @(16,16)","1× Ore Refinery @(22,16); 1× far enemy Construction Yard @(74,16) (engine keep-alive)","none (undefended)","","Commander, this is a demolition strike. You are given Tanya — an elite commando carrying C4 demolition charges. On adjacency to any enemy building she can plant the charges and instantly destroy it, surviving the blast. The pistol she also carries is anti-infantry only; it cannot demolish a building inside any sensible deadline. An undefended enemy Ore Refinery sits six cells east of her current position on a small open arena. Demolish it within about 20 turns.","≥1 enemy building destroyed, within 1500 ticks.","Deadline (1501 ticks).","20","1803"
