pack,level,seed,policy,outcome,turns,game_tick,cash,resources,economy_value,units_killed,units_lost,explored_pct,error
action-multiunit-coordination,easy,1,stall,loss,25,2253,0,0,0,0,0,7.26,
action-multiunit-coordination,easy,2,stall,loss,25,2253,0,0,0,0,0,7.26,
action-multiunit-coordination,easy,3,stall,loss,25,2253,0,0,0,0,0,7.26,
action-multiunit-coordination,easy,4,stall,loss,25,2253,0,0,0,0,0,7.26,
action-multiunit-coordination,medium,1,stall,loss,32,2883,0,0,0,0,0,14.39,
action-multiunit-coordination,medium,2,stall,loss,32,2883,0,0,0,0,0,14.39,
action-multiunit-coordination,medium,3,stall,loss,32,2883,0,0,0,0,0,14.39,
action-multiunit-coordination,medium,4,stall,loss,32,2883,0,0,0,0,0,14.39,
action-multiunit-coordination,hard,1,stall,loss,37,3333,0,0,0,0,0,14.39,
action-multiunit-coordination,hard,2,stall,loss,37,3333,0,0,0,0,0,14.39,
action-multiunit-coordination,hard,3,stall,loss,37,3333,0,0,0,0,0,14.39,
action-multiunit-coordination,hard,4,stall,loss,37,3333,0,0,0,0,0,14.39,
action-sequenced-execution,easy,1,stall,loss,27,2433,0,0,0,0,0,9.98,
action-sequenced-execution,easy,2,stall,loss,27,2433,0,0,0,0,0,9.98,
action-sequenced-execution,easy,3,stall,loss,27,2433,0,0,0,0,0,9.98,
action-sequenced-execution,easy,4,stall,loss,27,2433,0,0,0,0,0,9.98,
action-sequenced-execution,medium,1,stall,loss,34,3063,0,0,0,0,0,15.15,
action-sequenced-execution,medium,2,stall,loss,34,3063,0,0,0,0,0,15.15,
action-sequenced-execution,medium,3,stall,loss,34,3063,0,0,0,0,0,15.15,
action-sequenced-execution,medium,4,stall,loss,34,3063,0,0,0,0,0,15.15,
action-sequenced-execution,hard,1,stall,loss,56,5043,0,0,0,0,0,7.75,
action-sequenced-execution,hard,2,stall,loss,56,5043,0,0,0,0,0,7.75,
action-sequenced-execution,hard,3,stall,loss,56,5043,0,0,0,0,0,7.75,
action-sequenced-execution,hard,4,stall,loss,56,5043,0,0,0,0,0,7.75,
adv-asymmetric-weaker-must-win,easy,1,stall,loss,60,5403,0,0,0,0,0,3.27,
