"pack","level","capability","map_name","map_size","map_fit","tools","agent_force","enemy_force","enemy_posture","posture_issue","briefing_RA","win_condition","lose_condition","max_turns","tick_budget"
"coord-converge-on-target","easy","action","rush-hour-arena","128x40","wide-justified","move_units, attack_unit, attack_move, stop","3× medium tank @(70,6) NORTH + 3× @(66,20) WEST + 3× @(70,34) SOUTH (Return-Fire)","Construction Yard @(100,20) + 3× rifle infantry guards (guard bot; lunge ~16, leash ~18); sentinel fact @(120,4)","guard (bot post-hold; lunge ~16, leash ~18)","","Commander, this is a three-prong convergent strike on a defended enemy Construction Yard. You are given three tank squads — three medium tanks each — staged on the north, west, and south flanks of the target at (100,20). Three leashed riflemen guard the yard: they hold post but lunge at any enemy inside about 16 cells. The yard must fall AND every one of your nine tanks must be inside an 8-cell ring around (100,20) at the same instant for the win to fire. Within about 50 turns.","All 9 tanks inside the (100,20) ring, yard razed, within 4500 ticks.","All units dead, or deadline (4501 ticks).","54","4863"
"coord-converge-on-target","medium","action","rush-hour-arena","128x40","wide-justified","move_units, attack_unit, attack_move, stop","3× medium tank @(70,6) NORTH + 3× @(66,20) WEST + 3× @(70,34) SOUTH (Return-Fire)","Construction Yard @(100,20) + 4× rifle infantry guards (one per cardinal face, guard bot); sentinel fact @(120,4)","guard (bot post-hold; lunge ~16, leash ~18)","","Commander, this is a three-prong convergent strike on a defended enemy Construction Yard. You are given three tank squads — three medium tanks each — staged on the north, west, and south flanks of the target at (100,20). Four leashed riflemen now guard the yard, one on each cardinal face. The yard must fall AND every one of your nine tanks must be inside an 8-cell ring around (100,20) at the same instant. Within about 50 turns.","All 9 tanks inside the (100,20) ring, yard razed, within 4500 ticks.","All units dead, or deadline (4501 ticks).","54","4863"
"coord-converge-on-target","hard","action","rush-hour-arena","128x40","wide-justified","move_units, attack_unit, attack_move, stop","Seed-rotated 3-squad staging: sp0 N(70,6)/W(66,20)/S(70,34) or sp1 N(76,5)/W(72,18)/S(76,32), 3× 2tnk each","Construction Yard @(100,20) + 4× rifle infantry guards (cardinal faces, guard bot); sentinel fact @(120,4)","guard (bot post-hold; lunge ~16, leash ~18)","","Commander, this is a three-prong convergent strike with seed-rotated staging. You are given three tank squads — three medium tanks each — staged on the north, west, and south flanks of the target at (100,20), with the exact staging cells shifted by seed. Four leashed riflemen guard the yard, one on each cardinal face. The yard must fall AND every one of your nine tanks must be inside an 8-cell ring around (100,20) at the same instant. Within about 50 turns.","All 9 tanks inside the (100,20) ring, yard razed, within 4500 ticks.","All units dead, or deadline (4501 ticks).","54","4863"
"coord-cover-and-move","easy","action","rush-hour-arena","128x40","wide","move_units, attack_unit, attack_move, stop","6× medium tank in two squads: 3× @(10,15) NW + 3× @(10,25) SW (Return-Fire)","3× rocket infantry + 2× heavy tank @(49-51,19-21) central fire zone (Defend stance); sentinel fact @(120,20)","static (st2 mixed cluster — Defend, never advances)","","Commander, this is a bounding-overwatch advance through an enemy fire zone. You are given two squads of three medium tanks staged at (10,15) and (10,25). A centre block at (50,20) holds three anti-tank rocket soldiers anchored by two heavy tanks — driving both squads through it head-on burns the loss cap. Get four tanks into a 6-cell ring around (100,20) on the east with at most one loss, within about 50 turns.","≥4 tanks inside (100,20) ring, ≤1 loss, within 4500 ticks.","All dead, >1 lost, or deadline (4501 ticks).","50","4503"
"coord-cover-and-move","medium","action","rush-hour-arena","128x40","wide","move_units, attack_unit, attack_move, stop","6× medium tank in two squads: 3× @(10,15) NW + 3× @(10,25) SW","4× rocket infantry + 2× heavy tank @(49-51,19-21) central fire zone (Defend); sentinel fact @(120,20)","static (st2 mixed cluster — Defend, never advances)","","Commander, this is a bounding-overwatch advance through a heavier enemy fire zone. You are given two squads of three medium tanks staged at (10,15) and (10,25). The centre block at (50,20) now holds four rocket soldiers and two heavy tanks. Get four tanks into a 6-cell ring around (100,20) on the east with at most one loss, within about 50 turns.","≥4 tanks inside (100,20) ring, ≤1 loss, within 4500 ticks.","All dead, >1 lost, or deadline (4501 ticks).","50","4503"
"coord-cover-and-move","hard","action","rush-hour-arena","128x40","wide","move_units, attack_unit, attack_move, stop","Seed-rotated 12× 2tnk: sp0 NW corner (y=11-17) or sp1 SW corner (y=23-29)","4× rocket infantry + 2× heavy tank + 6× rifle screen at (49-51, 13-27) (Defend); sentinel fact @(120,20)","static (st2 mixed cluster — Defend, never advances)","","Commander, this is a bounding-overwatch advance through a defended fire zone. You are given two squads of six medium tanks each, staged on either the north-west or south-west corner by seed. The centre block at (50,20) holds four rocket soldiers, two heavy tanks, and a rifle screen ringed north and south of the heavies. The loss cap is ZERO. Get four tanks into a 6-cell ring around (100,20), within about 50 turns.","≥4 tanks inside (100,20) ring, 0 losses, within 4500 ticks.","Any loss, all dead, or deadline (4501 ticks).","50","4503"
"coord-diversionary-attack","easy","reasoning","rush-hour-arena","128x40","wide","move_units, attack_unit, attack_move, stop","3× jeep @(6,10) NORTH + 4× medium tank @(6,30) SOUTH (Return-Fire)","Real yard @(100,10) NE + 1× rifle guard; decoy Power Plant @(100,30) SE + 3× rocket guards (Defend); sentinel fact @(125,38)","static (st2 decoy guards + 1 rifle on real yard)","","Commander, this is a diversionary strike. You are given 3 jeeps on the north flank at (6,10) and 4 medium tanks on the south flank at (6,30). Two enemy buildings sit deep east: the REAL Construction Yard at (100,10) covered by a single rifleman, and a DECOY Power Plant at (100,30) guarded by three rocket soldiers. Only razing the real yard scores. At most 5 losses, within about 60 turns.","Real yard @(100,10) razed inside a 6-cell ring, ≤5 losses, within 5400 ticks.","All dead, >5 lost, or deadline (5401 ticks).","62","5583"
"coord-diversionary-attack","medium","reasoning","rush-hour-arena","128x40","wide","move_units, attack_unit, attack_move, stop","3× jeep @(6,10) + 4× medium tank @(6,30)","Real yard @(100,10) + 1× rifle; decoy Power Plant @(100,30) + 5× rocket guards (Defend); sentinel fact @(125,38)","static (st2 decoy guards + 1 rifle on real yard)","","Commander, this is a diversionary strike against a heavier decoy guard. You are given 3 jeeps at (6,10) and 4 medium tanks at (6,30). The real Construction Yard at (100,10) is covered by a single rifleman; the decoy Power Plant at (100,30) is covered by FIVE rocket soldiers — a frontal push there shreds the tanks. Only razing the real yard scores. At most 4 losses, within about 60 turns.","Real yard @(100,10) razed inside a 6-cell ring, ≤4 losses, within 5400 ticks.","All dead, >4 lost, or deadline (5401 ticks).","62","5583"
"coord-diversionary-attack","hard","reasoning","rush-hour-arena","128x40","wide","move_units, attack_unit, attack_move, stop","Seed-rotated: sp0 jeeps@(6,10) + 4×2tnk@(6,14); sp1 jeeps@(6,30) + 4×2tnk@(6,26)","Real yard @(100,10) + 1× rifle; decoy Power Plant @(100,30) + 5× rocket guards; sentinel fact @(125,38)","static (st2 decoy guards + 1 rifle on real yard)","","Commander, this is a diversionary strike with seed-rotated staging. You are given 3 jeeps and 4 medium tanks staged on either the north or south flank of the west edge by seed. The real Construction Yard at (100,10) is covered by a single rifleman; the decoy Power Plant at (100,30) is covered by five rocket soldiers. Only razing the real yard scores. At most 4 losses, within about 60 turns.","Real yard @(100,10) razed, ≤4 losses, within 5400 ticks.","All dead, >4 lost, or deadline (5401 ticks).","62","5583"
"coord-mutual-support","easy","action","rush-hour-arena","128x40","wide","move_units, attack_unit, attack_move, stop","6× medium tank @(6,17-22) on west edge (Return-Fire)","3× rocket infantry @(38-40,23) south harasser + 4× rocket infantry around (60,20) objective (Defend); sentinel fact @(120,20)","static (st2 rocket clusters along the lane)","","Commander, this is a mutual-support advance through layered rocket fire. You are given 6 medium tanks tightly packed at the west edge (y=17..22). A 3-rocket harasser hides south of the lane around (40,23); a 4-rocket cluster covers the objective at (60,20). Each cluster eats concentrated fire only if the squad arrives together; a strung-out column gets picked apart. Pass the (40,20) checkpoint with 5 tanks together, then arrive at (60,20) with 5 tanks together, kill 5, keep ≥5 alive, within about 50 turns.","Sequenced: ≥5 tanks at (40,20,r=5), then ≥5 at (60,20,r=6); ≥5 kills; ≥5 alive; within 4500 ticks.","<3 alive, or deadline (4501 ticks).","75","6753"
