slug,name_kind,faction,hp_engine,sight_engine,cost_engine,buildtime_ticks_engine,prereqs_engine,weapons_engine,armor_class,speed,cost_defaults_rs,hp_defaults_rs,cost_doc,buildtime_sec_doc,prereqs_doc,doc_source_paths,mismatches,bench_claim_inconsistencies,source_used_at_runtime
1tnk,Vehicle,allies,23000,-,700,420,vehicles.allies,25mm,Heavy,113,700,160000,700,16,weap,audits/EDIT_PRINCIPLES_FAMILY2.md §17;audits/PRODUCTION_TECH_AUDIT.md;openra_bench/prompt_v2.py _CODEX,,defaults() hp=160000 vs vendor hp=23000,vendor
2tnk,Vehicle,allies,46000,-,850,510,"fix,vehicles.allies",90mm,Heavy,72,800,260000,800,18,"weap,fix",audits/EDIT_PRINCIPLES_FAMILY2.md §17;audits/PRODUCTION_TECH_AUDIT.md;openra_bench/prompt_v2.py _CODEX,cost: doc=$800 engine=$850,cost: 800 vs 850; defaults() cost=$800 vs vendor cost=$850; defaults() hp=260000 vs vendor hp=46000,vendor
3tnk,Vehicle,soviet,60000,-,1150,690,"fix,vehicles.soviet",105mm,Heavy,64,1500,400000,950,,,openra_bench/prompt_v2.py _CODEX,cost: doc=$950 engine=$1150,defaults() cost=$1500 vs vendor cost=$1150; defaults() hp=400000 vs vendor hp=60000,vendor
4tnk,Vehicle,soviet,90000,-,2000,1200,"fix,stek,vehicles.soviet",120mm|MammothTusk,Heavy,43,1800,500000,1500,,,openra_bench/prompt_v2.py _CODEX,cost: doc=$1500 engine=$2000,defaults() cost=$1800 vs vendor cost=$2000; defaults() hp=500000 vs vendor hp=90000,vendor
afld,Building,soviet,100000,-,500,300,dome,,Wood,0,500,80000,1000,,tent,audits/EDIT_PRINCIPLES_FAMILY11.md §70,cost: doc=$1000 engine=$500; prereqs: doc=tent engine=dome,defaults() hp=80000 vs vendor hp=100000,vendor
agun,Building,allies,40000,-,800,480,dome,ZSU-23,Heavy,0,600,40000,,,,,,defaults() cost=$600 vs vendor cost=$800,vendor
apc,Vehicle,soviet,35000,-,850,510,vehicles.soviet,M60mg,Heavy,128,800,200000,800,,,openra_bench/prompt_v2.py _CODEX,cost: doc=$800 engine=$850,defaults() cost=$800 vs vendor cost=$850; defaults() hp=200000 vs vendor hp=35000,vendor
apwr,Building,both,70000,5,500,300,dome,,Wood,0,500,70000,,,,,,,vendor
arty,Vehicle,allies,10000,-,850,510,"dome,vehicles.allies",155mm,Light,72,600,75000,600,,,openra_bench/prompt_v2.py _CODEX,cost: doc=$600 engine=$850,defaults() cost=$600 vs vendor cost=$850; defaults() hp=75000 vs vendor hp=10000,vendor
atek,Building,allies,60000,-,1500,900,"dome,weap",,Wood,0,2800,60000,,,,,,defaults() cost=$2800 vs vendor cost=$1500,vendor
barr,Building,soviet,60000,-,500,300,anypower,,Wood,0,400,50000,,,,,,defaults() cost=$400 vs vendor cost=$500; defaults() hp=50000 vs vendor hp=60000,vendor
ca,Ship,both,80000,-,2400,1440,"atek,syrd",8Inch|8Inch,Heavy,44,2400,80000,,,,,,,vendor
ctnk,Vehicle,both,40000,-,1350,810,"atek,vehicles.germany",APTusk,Light,86,2000,100000,,,,,,defaults() cost=$2000 vs vendor cost=$1350; defaults() hp=100000 vs vendor hp=40000,vendor
dd,Ship,both,40000,-,1000,600,"dome,syrd",Stinger|DepthCharge|StingerAA,Heavy,92,1000,40000,1000,,syrd,audits/EDIT_PRINCIPLES_FAMILY11.md §70,"prereqs: doc=syrd engine=dome,syrd",,vendor
dog,Infantry,both,1800,5,200,120,kenn,DogJaw,None,100,200,20000,200,,,openra_bench/prompt_v2.py _CODEX,,defaults() hp=20000 vs vendor hp=1800,vendor
dome,Building,both,100000,-,1500,900,proc,,Wood,0,2800,60000,,,,,,defaults() cost=$2800 vs vendor cost=$1500; defaults() hp=60000 vs vendor hp=100000,vendor
e1,Infantry,both,5000,-,100,60,barracks,M1Carbine|Vulcan,None,0,100,50000,100,5,tent,audits/EDIT_PRINCIPLES_FAMILY2.md §17;audits/PRODUCTION_TECH_AUDIT.md;openra_bench/prompt_v2.py _CODEX,,defaults() hp=50000 vs vendor hp=5000,vendor
e2,Infantry,both,5000,-,150,90,barr,Grenade|Grenade,None,68,160,50000,160,,,openra_bench/prompt_v2.py _CODEX,cost: doc=$160 engine=$150,defaults() cost=$160 vs vendor cost=$150; defaults() hp=50000 vs vendor hp=5000,vendor
e3,Infantry,both,4500,-,300,180,barracks,RedEye|Dragon|RedEye|Dragon,None,0,300,45000,300,8,tent,audits/EDIT_PRINCIPLES_FAMILY2.md §17;audits/PRODUCTION_TECH_AUDIT.md;openra_bench/prompt_v2.py _CODEX,,defaults() hp=45000 vs vendor hp=4500,vendor
e4,Infantry,both,4000,-,300,180,"barr,ftur",Flamer|Flamer,None,0,200,60000,,,,,,defaults() cost=$200 vs vendor cost=$300; defaults() hp=60000 vs vendor hp=4000,vendor
e6,Infantry,both,0,-,400,240,barracks,,None,0,500,25000,500,10,tent,audits/PRODUCTION_TECH_AUDIT.md;openra_bench/prompt_v2.py _CODEX,cost: doc=$500 engine=$400,defaults() cost=$500 vs vendor cost=$400; defaults() hp=25000 vs vendor hp=0,vendor
e7,Infantry,both,10000,6,1800,1080,"atek,tent",Colt45|Colt45,None,68,600,100000,600,30,"tent,fix",audits/PRODUCTION_TECH_AUDIT.md,"cost: doc=$600 engine=$1800; prereqs: doc=tent,fix engine=atek,tent",defaults() cost=$600 vs vendor cost=$1800; defaults() hp=100000 vs vendor hp=10000,vendor
fact,Building,both,150000,-,2000,1200,,,Wood,0,0,150000,,,,,,defaults() cost=$0 vs vendor cost=$2000,vendor
fix,Building,both,80000,-,1200,720,weap,,Wood,0,1200,80000,1200,22,weap,audits/EDIT_PRINCIPLES_FAMILY2.md §17;audits/PRODUCTION_TECH_AUDIT.md,,,vendor
ftur,Building,soviet,40000,-,600,360,barr,FireballLauncher,Heavy,0,600,40000,,,,,,,vendor
gap,Building,allies,50000,-,800,480,atek,,Heavy,0,500,40000,,,,,,defaults() cost=$500 vs vendor cost=$800; defaults() hp=40000 vs vendor hp=50000,vendor
gun,Building,allies,40000,-,800,480,tent,TurretGun,Heavy,0,600,40000,600,14,"tent,fix",audits/EDIT_PRINCIPLES_FAMILY2.md §17;audits/PRODUCTION_TECH_AUDIT.md,"cost: doc=$600 engine=$800; prereqs: doc=tent,fix engine=tent",defaults() cost=$600 vs vendor cost=$800,vendor
harv,Vehicle,both,60000,4,1100,660,proc,,Heavy,72,1400,60000,1400,25,weap,audits/EDIT_PRINCIPLES_FAMILY2.md §17;audits/PRODUCTION_TECH_AUDIT.md;openra_bench/prompt_v2.py _CODEX,cost: doc=$1400 engine=$1100; prereqs: doc=weap engine=proc,cost: 1400 vs 1100; defaults() cost=$1400 vs vendor cost=$1100,vendor
hbox,Building,allies,40000,-,750,450,tent,,Heavy,0,600,40000,600,14,"tent,fix",audits/PRODUCTION_TECH_AUDIT.md,"cost: doc=$600 engine=$750; prereqs: doc=tent,fix engine=tent",defaults() cost=$600 vs vendor cost=$750,vendor
heli,Aircraft,both,12000,-,2000,1200,"atek,hpad",HellfireAA|HellfireAG,None,149,1200,120000,2000,,hpad,audits/EDIT_PRINCIPLES_FAMILY11.md §70,"prereqs: doc=hpad engine=atek,hpad",defaults() cost=$1200 vs vendor cost=$2000; defaults() hp=120000 vs vendor hp=12000,vendor
hind,Aircraft,both,10000,-,1500,900,hpad,ChainGun,None,112,1200,100000,,,,,,defaults() cost=$1200 vs vendor cost=$1500; defaults() hp=100000 vs vendor hp=10000,vendor
hpad,Building,allies,80000,-,500,300,dome,,Wood,0,500,80000,1000,,"tent,proc,fact",audits/EDIT_PRINCIPLES_FAMILY11.md §70,"cost: doc=$1000 engine=$500; prereqs: doc=tent,proc,fact engine=dome",,vendor
iron,Building,soviet,100000,-,2000,1200,stek,,Wood,0,2800,100000,,,,,,defaults() cost=$2800 vs vendor cost=$2000,vendor
jeep,Vehicle,allies,15000,-,500,300,vehicles.allies,M60mg,Light,164,600,150000,600,14,weap,audits/EDIT_PRINCIPLES_FAMILY2.md §17;audits/PRODUCTION_TECH_AUDIT.md;openra_bench/prompt_v2.py _CODEX,cost: doc=$600 engine=$500,defaults() cost=$600 vs vendor cost=$500; defaults() hp=150000 vs vendor hp=15000,vendor
lst,Ship,both,40000,-,500,300,,,Heavy,115,700,40000,,,,,,defaults() cost=$700 vs vendor cost=$500,vendor
mcv,Vehicle,both,60000,4,2000,1200,fix,,Light,60,2500,60000,2500,40,"weap,fix",audits/PRODUCTION_TECH_AUDIT.md;openra_bench/prompt_v2.py _CODEX,"cost: doc=$2500 engine=$2000; prereqs: doc=weap,fix engine=fix",defaults() cost=$2500 vs vendor cost=$2000,vendor
mech,Infantry,both,8000,3,500,300,"fix,tent",Repair,None,49,500,70000,,,,,,defaults() hp=70000 vs vendor hp=8000,vendor
medi,Infantry,both,6000,3,200,120,tent,Heal,None,49,600,80000,800,,,openra_bench/prompt_v2.py _CODEX,cost: doc=$800 engine=$200,defaults() cost=$600 vs vendor cost=$200; defaults() hp=80000 vs vendor hp=6000,vendor
mig,Aircraft,both,8000,-,2000,1200,"afld,stek",Maverick,None,223,2000,100000,,,,,,defaults() hp=100000 vs vendor hp=8000,vendor
mnly,Vehicle,both,30000,-,800,480,fix,,Heavy,113,500,55000,,,,,,defaults() cost=$500 vs vendor cost=$800; defaults() hp=55000 vs vendor hp=30000,vendor
mslo,Building,both,100000,-,2500,1500,techcenter,,Wood,0,5000,100000,,,,,,defaults() cost=$5000 vs vendor cost=$2500,vendor
msub,Ship,both,40000,-,2000,1200,"spen,stek",SubMissile|SubMissileAA,Light,44,1800,60000,,,,,,defaults() cost=$1800 vs vendor cost=$2000; defaults() hp=60000 vs vendor hp=40000,vendor
pbox,Building,allies,40000,-,600,360,tent,,Heavy,0,400,40000,400,12,tent,audits/EDIT_PRINCIPLES_FAMILY2.md §17;audits/PRODUCTION_TECH_AUDIT.md,cost: doc=$400 engine=$600,defaults() cost=$400 vs vendor cost=$600,vendor
pdox,Building,allies,100000,-,1500,900,atek,,Wood,0,2800,100000,,,,,,defaults() cost=$2800 vs vendor cost=$1500,vendor
powr,Building,both,40000,4,300,180,,,Wood,0,300,40000,300,8,fact,audits/EDIT_PRINCIPLES_FAMILY2.md §17;audits/PRODUCTION_TECH_AUDIT.md,prereqs: doc=fact engine=∅,,vendor
proc,Building,both,90000,-,1400,840,anypower,,Wood,0,1400,90000,1400,28,fact,audits/EDIT_PRINCIPLES_FAMILY2.md §17;audits/PRODUCTION_TECH_AUDIT.md,,,vendor
pt,Ship,both,20000,-,500,300,syrd,2Inch|DepthCharge,Heavy,142,500,15000,,,,,,defaults() hp=15000 vs vendor hp=20000,vendor
sam,Building,soviet,40000,-,700,420,dome,Nike,Heavy,0,750,40000,,,,,,defaults() cost=$750 vs vendor cost=$700,vendor
shok,Infantry,soviet,5000,5,350,210,"barr,infantry.russia,stek,tsla",PortaTesla|PortaTesla,None,0,400,80000,,,,,,defaults() cost=$400 vs vendor cost=$350; defaults() hp=80000 vs vendor hp=5000,vendor
silo,Building,both,30000,4,150,90,proc,,Wood,0,,,150,5,proc,audits/EDIT_PRINCIPLES_FAMILY2.md §17;audits/PRODUCTION_TECH_AUDIT.md,,,vendor
spen,Building,soviet,100000,-,800,480,anypower,,Wood,0,650,120000,2000,,proc,audits/EDIT_PRINCIPLES_FAMILY11.md §70,cost: doc=$2000 engine=$800; prereqs: doc=proc engine=anypower,defaults() cost=$650 vs vendor cost=$800; defaults() hp=120000 vs vendor hp=100000,vendor
spy,Infantry,both,0,5,500,300,"dome,infantry.england,tent",SilencedPPK,None,0,500,25000,500,,,openra_bench/prompt_v2.py _CODEX,,defaults() hp=25000 vs vendor hp=0,vendor
ss,Ship,both,25000,-,950,570,spen,TorpTube,Light,78,950,60000,,,,,,defaults() hp=60000 vs vendor hp=25000,vendor
