"pack","level","capability","map_name","map_size","map_fit","tools","agent_force","enemy_force","enemy_posture","posture_issue","briefing_RA","win_condition","lose_condition","max_turns","tick_budget","wrong_strategy_loss"
"tp-decision-under-clock","easy","reasoning","rush-hour-arena","128x40","large-trivial","move_units, attack_unit, attack_move, stop_units","4× medium tank @(6,17-23) + 2× jeep @(8,12)/(8,28) + Construction Yard @(10,20); cash 0","NE Construction Yard @(116,6) + 2× rifle infantry picket; SE Construction Yard @(116,34) + 3× heavy tank + 2× rocket infantry garrison","turtle (each garrison holds its corner, returns fire only)","","Commander, this is a quick-decision-under-clock task. You are given 4 medium tanks and 2 fast jeep scouts on the west edge with your Construction Yard behind them; no cash, no build phase. Two enemy Construction Yards stand at the far corners — one at the north-east (116,6) and one at the south-east (116,34). One corner is lightly held by a couple of riflemen; the other has a 3-heavy-tank plus 2-rocket-soldier garrison that out-trades your column head-on. You will NOT know in advance which corner is soft. Raze either enemy yard within about 37 turns with at least 2 of your own units still alive.","Raze either enemy Construction Yard, ≥2 of your units alive, within 3300 ticks.","Construction Yard lost, fewer than 2 own units alive, or deadline (3301 ticks).","40","3603","Commit-blind to the heavy corner wipes the column below the 2-survivor floor; stall on observe never razes a yard; over-scout (hold the tanks at base until certain) busts the clock."
"tp-decision-under-clock","medium","reasoning","rush-hour-arena","128x40","large-trivial","move_units, attack_unit, attack_move, stop_units","4× medium tank @(6,17-23) + 2× jeep @(8,12)/(8,28) + Construction Yard @(10,20); cash 0","NE Construction Yard @(116,6) + 3× heavy tank + 2× rocket infantry garrison; SE Construction Yard @(116,34) + 2× rifle picket (corners SWAPPED vs easy)","turtle (each garrison holds its corner, returns fire only)","","Commander, this is a quick-decision-under-clock task on a tighter clock. You are given 4 medium tanks and 2 jeep scouts on the west edge with your Construction Yard behind; no cash, no build phase. Two enemy yards stand at the far corners — one north-east (116,6), one south-east (116,34). One corner is lightly held by riflemen; the other carries a 3-heavy-tank plus 2-rocket-soldier garrison. Which is which is NOT given. Raze either yard within about 33 turns with at least 2 of your units alive. The clock will not tolerate the column sitting at base until you are certain.","Raze either enemy Construction Yard, ≥2 own units alive, within 2900 ticks.","Construction Yard lost, fewer than 2 own units alive, or deadline (2901 ticks).","35","3153","Memorising ""attack NE"" from easy now charges the heavy garrison and loses the survivor floor; holding the column at base until certain busts the 2900-tick clock."
"tp-decision-under-clock","hard","reasoning","rush-hour-arena","128x40","large-trivial","move_units, attack_unit, attack_move, stop_units","4× medium tank @(6,17-23) + 2× jeep @(8,12)/(8,28) + Construction Yard @(10,20); cash 0; identical every seed","Two ENEMY spawn_point groups — group 0: NE light / SE heavy; group 1: NE heavy / SE light. Light = 2× e1 picket; heavy = 3× 3tnk + 2× e3 garrison","turtle (each garrison holds its corner, returns fire only)","","Commander, this is a quick-decision-under-clock task with the soft and heavy corners flipping per seed. You are given 4 medium tanks and 2 jeep scouts on the west edge with your Construction Yard behind; no cash, no build phase. Two enemy yards stand at the far corners — north-east (116,6) and south-east (116,34). One is held by a couple of riflemen, the other by 3 heavy tanks plus 2 rocket soldiers — but which corner is soft CHANGES per seed. Raze either yard within about 33 turns, ≥2 of your units alive.","Raze either enemy Construction Yard, ≥2 own units alive, within 2900 ticks.","Construction Yard lost, fewer than 2 own units alive, or deadline (2901 ticks).","35","3153","A fixed always-NE or always-SE plan loses on half the seeds (the heavy half wipes the column); dithering at base busts the clock."
"tp-pressure-procedural","easy","action","rush-hour-arena","128x40","large-trivial","observe, move_units, set_stance, stop (attack_unit & attack_move FORBIDDEN)","4× medium tank @(10,19-21)/(11,20) on ReturnFire + Construction Yard @(5,20)","4× rifle infantry scattered @(40,16)/(48,24)/(56,14)/(64,26) HoldFire + enemy Construction Yard @(120,20) anti-draw anchor","passive (every enemy stance:0 HoldFire — never fires)","","Commander, this is a procedural-pressure drill. You are given 4 medium tanks on ReturnFire stance at the west and your Construction Yard. Four enemy rifle infantry sit scattered across the eastern half on hold-fire orders — they will NOT engage you. Your tool allow-list omits the direct attack verbs (attack_unit and attack_move are forbidden — issuing one is an instant fail). Score 4 kills within about 30 turns with your Construction Yard standing.","≥4 kills AND Construction Yard standing, within 2700 ticks; tool_violations == 0.","Forbidden tool called, Construction Yard lost, or deadline (2701 ticks).","31","2793","Calling attack_unit/attack_move is an instant FAIL; leaving the tanks on ReturnFire with the enemy on HoldFire means no fire is ever exchanged → 0 kills → clock LOSS."
"tp-pressure-procedural","medium","action","rush-hour-arena","128x40","large-trivial","observe, move_units, set_stance, stop (attack_unit & attack_move FORBIDDEN)","4× medium tank @(10,19-21)/(11,20) on ReturnFire + Construction Yard","3× rifle infantry + 1× light tank @(40,16)/(48,24)/(56,14)/(64,26) HoldFire + enemy Construction Yard","passive (every enemy stance:0 HoldFire — never fires)","","Commander, this is a procedural-pressure drill with a mixed enemy band. You are given 4 medium tanks on ReturnFire at the west and your Construction Yard. Three rifle infantry and one light tank sit passive in the east on hold-fire orders. Your tool allow-list omits the direct attack verbs (attack_unit and attack_move are forbidden — issuing one is an instant fail). Score 4 kills within about 30 turns, Construction Yard standing.","≥4 kills AND Construction Yard standing, within 2700 ticks; tool_violations == 0.","Forbidden tool called, Construction Yard lost, or deadline (2701 ticks).","31","2793","Forbidden attack verbs trigger instant fail; ReturnFire vs HoldFire is a no-engagement deadlock so a stall yields 0 kills."
"tp-pressure-procedural","hard","action","rush-hour-arena","128x40","large-trivial","observe, move_units, set_stance, stop (attack_unit & attack_move FORBIDDEN)","4× medium tank ReturnFire spawn-rotated NORTH (y=14-16) or SOUTH (y=24-26) by seed + Construction Yard duplicated under both groups","3× rifle + 1× light tank passive @(40,18)/(48,22)/(56,16)/(64,24) + enemy Construction Yard","passive (every enemy stance:0 HoldFire — never fires)","","Commander, this is a procedural-pressure drill with seed-rotated staging. You are given 4 medium tanks on ReturnFire stance at the western edge, staged in either a north band (y≈15) or south band (y≈25) depending on seed, plus your Construction Yard. Three rifle infantry and one light tank wait passive in the east on hold-fire orders. Your tool allow-list omits the direct attack verbs (attack_unit and attack_move are forbidden — issuing one is an instant fail). Score 4 kills within about 30 turns, Construction Yard standing.","≥4 kills AND Construction Yard standing, within 2700 ticks; tool_violations == 0.","Forbidden tool called, Construction Yard lost, or deadline (2701 ticks).","31","2793","A memorised hunt vector mis-aligns from the other latitude; only the doctrine (flip to AttackAnything) generalises."
"tp-rush-multi-objective","easy","action","rush-hour-arena","128x40","wide-justified","move_units, attack_unit, attack_move, stop_units","NORTH sub-group 2× medium tank + 1× jeep @(6-8,10-12), SOUTH sub-group 2× medium tank + 1× jeep @(6-8,28-30), Construction Yard @(10,20)","Two enemy yards (24%-health pre-damaged) — NE @(115,8) + 1× rifle picket; SE @(115,32) + 1× rifle picket","turtle (each garrison holds its corner, no roaming)","","Commander, this is a parallel two-objective rush. You are given two strike sub-groups on opposite latitudes — a north pair (2 medium tanks + 1 jeep around y=11) and a south pair (2 medium tanks + 1 jeep around y=29) — plus your Construction Yard at the centre. Two enemy yards stand at the corners: north-east (115,8) and south-east (115,32), each held by a single rifleman. Both yards must fall within about 23 turns. The clock will not fit a one-after-the-other sequence.","Raze BOTH the NE (115,8) and SE (115,32) enemy yards, within 2000 ticks.","One or both yards still standing at deadline (2001 ticks).","26","2343","Serialising the rushes (one sub-group rolling NE, then south after) busts the 2000-tick clock; razing only one yard satisfies neither of the two AND-clauses."
"tp-rush-multi-objective","medium","action","rush-hour-arena","128x40","wide-justified","move_units, attack_unit, attack_move, stop_units","Same north+south sub-groups (2× 2tnk + jeep each) + Construction Yard","NE yard @(115,8) + rifle picket; SE yard @(115,32) + rifle picket","turtle (each garrison holds its corner, no roaming)","","Commander, this is a parallel two-objective rush on a tighter clock. You are given two strike sub-groups on opposite latitudes — a north pair (2 medium tanks + 1 jeep around y=11) and a south pair (2 medium tanks + 1 jeep around y=29) — plus your Construction Yard. Two enemy yards stand at the corners: north-east (115,8) and south-east (115,32), each lightly held by one rifleman. Both yards must fall within about 22 turns.","Raze BOTH the NE (115,8) and SE (115,32) enemy yards, within 1900 ticks.","One or both yards still standing at deadline (1901 ticks).","23","2073","A serial rush (raze NE first, then drive south to SE) lands ~tick 2400; only parallel dispatch lands inside the 1900 clock."
"tp-rush-multi-objective","hard","action","rush-hour-arena","128x40","wide-justified","move_units, attack_unit, attack_move, stop_units","AGENT spawn_point rotation — sub-groups stage north-shifted (sp0) or south-shifted (sp1) by seed; same 2×2tnk + jeep × 2 sub-groups per spawn","NE yard @(115,8) + rifle picket; SE yard @(115,32) + rifle picket — FIXED objectives every seed","turtle (each garrison holds its corner, no roaming)","","Commander, this is a parallel two-objective rush with seed-rotated staging. You are given two strike sub-groups (2 medium tanks + 1 jeep each) on opposite latitudes near the west edge — exact rows shift by seed. Two enemy yards stand at the fixed corners: north-east (115,8) and south-east (115,32), each lightly held. Both yards must fall within about 22 turns.","Raze BOTH the NE (115,8) and SE (115,32) enemy yards, within 1900 ticks.","One or both yards still standing at deadline (1901 ticks).","23","2073","A memorised dispatch (always send the y=11 group NE, the y=29 group SE) mis-targets when the spawn shifts; serialising busts the 1900 clock either way."
"tp-rush-objective-very-fast","easy","action","rush-hour-arena","128x40","large-trivial","move_units, attack_unit, attack_move, stop_units","3× medium tank @(6,18-22) + Construction Yard @(10,20)","Enemy Construction Yard @(115,20) + 2× rifle picket @(112,20)/(118,20)","turtle (2× e1 picket holds the yard, no roaming)","","Commander, this is a single-objective speedrun. You are given 3 medium tanks at the west edge and your Construction Yard behind them. One enemy Construction Yard stands at the far east (115,20), held by a pair of riflemen. Raze it within about 40 turns. The clock tolerates a modest detour but not stalling.","Raze the enemy Construction Yard at (115,20), within 3600 ticks.","Yard still standing at deadline (3601 ticks).","40","3603","Stalling (observe-only) yields no raze → clock LOSS."
