pack,family,buildables_required,tech_gates_present,tech_gates_missing,afford_at_start,afford_by_deadline,build_in_budget,faction,issues
adv-rps-counter-pick,adversarial,"2tnk, e3","fact, fix, powr, proc, tent, weap",,True,True,True,allies,
build-defensive-skirt-corners,build,pbox,"fact, powr, tent",,True,True,True,allies,
build-defensive-tower-cluster,build,pbox,"fact, powr, tent",,True,True,True,allies,
build-defensive-tower-line,build,pbox,"fact, powr, tent",,True,True,True,allies,
build-engineer-rebuild-after-loss,build,powr,"fact, powr, proc, weap",,True,True,True,allies,
build-power-online-first,build,"powr, proc",fact,,True,True,True,allies,
build-production-throughput-multibuilding,build,"weap, 2tnk","fact, fix, powr, proc, weap",,True,True,False,allies,build-time-over-budget:48s>35t
build-rally-point-management,build,e1,"fact, powr, tent",,True,True,True,allies,
build-sell-and-rebuild-elsewhere,build,proc,"fact, powr, proc",,False,False,True,allies,"unaffordable:need=1400,have=800,proj=800"
build-sequence-tech-cheapest,build,"powr, proc, weap",fact,,True,True,False,allies,build-time-over-budget:66s>40t
build-sequence-tech-fastest,build,"powr, proc, weap",fact,,True,True,False,allies,build-time-over-budget:66s>40t
build-sequence-tech-most-resilient,build,"weap, 2tnk","fact, fix, powr, proc",,False,True,True,allies,"tight-cash:need=2850,have=0"
build-tech-skip-decision,build,e1,"fact, tent",,True,True,True,allies,
building-and-planning,misc,"tent, pbox",fact,,True,True,True,allies,
combat-rocket-soldier-anti-vehicle,combat,e3,"fact, fix, powr, tent, weap",,True,True,True,allies,
combat-vehicle-vs-infantry-counter,combat,2tnk,"fact, fix, powr, tent, weap",,True,True,True,allies,
def-engineer-repair-under-fire,defense,,"fact, fix, pbox, proc",,True,True,True,allies,
def-in-depth-vs-single,defense,pbox,"fact, powr, tent",,True,True,True,allies,
def-in-depth,defense,pbox,"fact, pbox, powr, tent",,True,True,True,allies,
def-position-expected-direction,defense,pbox,"fact, powr, tent",,True,True,True,allies,
def-position-revealed-direction,defense,pbox,"fact, powr, proc, tent",,True,True,True,allies,
def-retreat-and-rebuild,defense,"fact, proc","fact, fact-via-mcv, powr, proc, tent",,True,True,True,allies,
def-surprise-flank-react,defense,,"fact, pbox",,True,True,True,allies,
def-tower-line-vs-cluster,defense,pbox,"fact, powr, tent",,True,True,True,allies,
def-walls-vs-towers,defense,pbox,"fact, powr, tent",,True,True,True,allies,
def-while-building,defense,pbox,"fact, powr, proc, tent",,True,True,True,allies,
defense-rush-survive,defense,pbox,"fact, powr, tent",,True,True,True,allies,
econ-burn-rate-management,economy,,"fact, fix, powr, proc, tent, weap",,True,True,True,allies,
econ-buy-vs-build-decision,economy,2tnk,"fact, fix, powr, proc, weap",,True,True,True,allies,
econ-cash-reserve-management,economy,"weap, harv","fact, powr, proc, tent",,False,True,True,allies,"tight-cash:need=3400,have=1500"
econ-contention-with-enemy,economy,"weap, harv","fact, proc",,False,True,False,allies,"tight-cash:need=3400,have=500; build-time-over-budget:55s>51t"
econ-contested-expansion,economy,proc,"fact, powr, proc",,True,True,True,allies,
econ-expansion-timing,economy,proc,"fact, powr, proc, weap",,False,True,True,allies,"tight-cash:need=1400,have=1100"
econ-mine-and-grow,economy,proc,"fact, powr",,True,True,True,allies,
econ-multi-patch-allocation,economy,proc,"fact, powr",,True,True,True,allies,
econ-overflow-to-silos,economy,silo,"fact, powr, proc",,True,True,True,allies,
econ-quantitative-vs-qualitative-spend,economy,"2tnk, e3","fact, fix, powr, tent, weap",,True,True,True,allies,
econ-recover-from-zero-cash,economy,"weap, harv, powr","fact, proc",,False,True,True,allies,"tight-cash:need=3700,have=0"
econ-replace-dead-harvester,economy,"weap, harv","fact, proc, tent, weap",,False,True,True,allies,"tight-cash:need=3400,have=1100"
econ-resource-trade-with-self,economy,harv,"fact, powr, proc, weap",,False,True,True,allies,"tight-cash:need=1400,have=500"
econ-second-base-race,economy,proc,"fact, powr",,True,True,True,allies,
econ-silo-vs-spend,economy,silo,"fact, powr, proc",,True,True,True,allies,
econ-startup-from-scratch,economy,"fact, powr, proc",fact-via-mcv,,True,True,True,allies,
econ-target-cash-amount-by-deadline,economy,harv,"fact, powr, proc, tent, weap",,False,True,True,allies,"tight-cash:need=1400,have=600"
econ-tech-vs-expand-decision,economy,proc,"fact, powr, proc, weap",,True,True,True,allies,
economy-force-buildup,economy,e3,"fact, powr, tent",,True,True,True,allies,
economy-harvest-investment,economy,proc,"fact, powr, proc, weap",,False,True,True,allies,"tight-cash:need=1400,have=1100"
economy-harvest-timebox,economy,harv,"fact, powr, proc, weap",,False,True,False,allies,"tight-cash:need=1400,have=1100; build-time-over-budget:25s>22t"
economy-investment,economy,"proc, powr","fact, powr, proc, tent",,True,True,False,allies,build-time-over-budget:36s>24t
economy-time-box,economy,e1,"fact, powr, tent",,True,True,True,allies,
expansion-aggro-3-base-greedy,economy,"fact, fact, fact",fact-via-mcv,,True,True,True,allies,
expansion-balanced-2-base-defended,economy,"fact, pbox","fact, fact-via-mcv, powr, tent",,True,True,True,allies,
expansion-turtle-1-base-fortified,economy,"pbox, fix, gun","fact, pbox, powr, proc, tent, weap",,True,True,True,allies,hard-adds-bldgs:gun
lh-100-turn-marathon-survival,long-horizon,pbox,"fact, powr, proc, tent",,True,True,True,allies,
lh-build-army-coordinate-multifront-attack,long-horizon,2tnk,"fact, fix, powr, tent, weap",,True,True,True,allies,
lh-credit-only-final-phase,long-horizon,2tnk,"fact, fix, powr, tent, weap",,True,True,True,allies,
lh-defense-tech-second-base,long-horizon,"fact, proc, weap, pbox","fact, fact-via-mcv, powr, proc, tent",,False,True,True,allies,"tight-cash:need=4000,have=3500"
lh-econ-army-victory,long-horizon,e1,"fact, powr, proc, tent",,True,True,True,allies,
lh-multi-checkpoint-5-plus,long-horizon,"proc, weap","fact, fix, powr, tent",,True,True,True,allies,
lh-opening-to-defense-to-counter,long-horizon,"proc, powr","fact, proc, tent, weap",,True,True,True,allies,
lh-opening-to-tech-to-army,long-horizon,"proc, weap, 2tnk","fact, fix, powr, tent",,True,True,True,allies,
lh-progression-stage-locked,long-horizon,"powr, proc, weap",fact,,False,True,True,allies,"tight-cash:need=3700,have=3000"
lh-recovery-after-mid-game-loss,long-horizon,"proc, 3tnk","fact, powr, proc, weap",,True,True,True,soviet,
lh-scout-react-counter,long-horizon,,"fact, powr",,True,True,True,allies,
lh-tech-pivot-attack,long-horizon,"e3, gun","fact, fix, powr, tent, weap",,True,True,True,allies,
lh-tech-rush-vs-army-rush,long-horizon,1tnk,"fact, powr, proc, tent, weap",,True,True,True,allies,
longhorizon-opening-to-assault,long-horizon,"proc, e1","fact, powr, tent",,True,True,True,allies,
maint-sell-and-recoup-cash,maintenance,"weap, 2tnk","dome, fact, fix, pbox, powr, proc, tsla",,True,True,True,allies,
mcv-deploy-and-build,build,"fact, powr, tent",fact-via-mcv,,True,True,True,allies,
mcv-deploy-defensible-site,build,"fact, powr, tent",fact-via-mcv,,True,True,True,allies,
mcv-deploy-near-resource,build,"fact, proc, powr","fact-via-mcv, proc",,False,True,True,allies,"tight-cash:need=1700,have=0"
mcv-deploy-relocate-under-pressure,build,fact,"fact, fact-via-mcv, powr, tent",,True,True,True,allies,
mcv-deploy-second-base,build,fact,"fact, fact-via-mcv, powr, proc, tent",,True,True,True,allies,
mcv-deploy-third-base,build,fact,"fact, fact-via-mcv",,True,True,True,allies,
mfb-base-1-defend-base-2-build,multi-base,fact,"fact, fact-via-mcv, proc, tent",,True,True,True,allies,
mfb-mirror-base-east-west,multi-base,"fact, proc","fact, powr, proc",,True,True,True,allies,
mfb-redundant-tech-buildings,multi-base,"weap, 2tnk","fact, fix, powr, proc, weap",,True,True,True,allies,
mfb-rotating-production-pressure,multi-base,"weap, 2tnk","fact, fix, powr, proc, weap",,True,True,True,allies,
mfb-tech-base-vs-economy-base,multi-base,"proc, weap","fact, fact-via-mcv, powr",,True,True,True,allies,
mfb-third-base-against-clock,multi-base,"fact, proc","fact, powr, proc",,True,True,True,allies,
mfb-two-base-simultaneous,multi-base,"fact, proc","fact, powr",,True,True,True,allies,
mid-tech-switch-on-scout,mid-game,"2tnk, e3, gun","fact, fix, powr, proc, tent, weap",,True,True,True,allies,
perception-count-the-threat,perception,e1,"fact, powr, tent",,True,True,True,allies,
