pack,family,interrupt_mode,easy_max_turns,easy_reachable_max_tick,easy_within_ticks,easy_after_ticks,easy_effective_deadline,easy_deadline_slack,easy_agent_count,easy_agent_value,easy_enemy_count,easy_enemy_value,easy_force_ratio,easy_starting_cash,easy_kill_quota,easy_cash_goal,easy_survival_floor,easy_survival_strictness,easy_max_losses,easy_units_lost_cap,easy_spawn_groups,easy_win_pred_count,easy_fail_pred_count,easy_sched_count,easy_has_build,easy_solvable,easy_solvable_margin_pct,easy_solvability_issues,medium_max_turns,medium_reachable_max_tick,medium_within_ticks,medium_after_ticks,medium_effective_deadline,medium_deadline_slack,medium_agent_count,medium_agent_value,medium_enemy_count,medium_enemy_value,medium_force_ratio,medium_starting_cash,medium_kill_quota,medium_cash_goal,medium_survival_floor,medium_survival_strictness,medium_max_losses,medium_units_lost_cap,medium_spawn_groups,medium_win_pred_count,medium_fail_pred_count,medium_sched_count,medium_has_build,medium_solvable,medium_solvable_margin_pct,medium_solvability_issues,hard_max_turns,hard_reachable_max_tick,hard_within_ticks,hard_after_ticks,hard_effective_deadline,hard_deadline_slack,hard_agent_count,hard_agent_value,hard_enemy_count,hard_enemy_value,hard_force_ratio,hard_starting_cash,hard_kill_quota,hard_cash_goal,hard_survival_floor,hard_survival_strictness,hard_max_losses,hard_units_lost_cap,hard_spawn_groups,hard_win_pred_count,hard_fail_pred_count,hard_sched_count,hard_has_build,hard_solvable,hard_solvable_margin_pct,hard_solvability_issues,hard_spawn_groups,monotonicity_score,monotonicity_max,monotonicity_breaks,defect_classes,recommendation
action-multiunit-coordination,F1_combat_micro,True,30,2703,2200,2201,2200,503,6,4650,2,3400,1.3676,0,0,0,1,0.1667,5,,0,3,2,0,False,True,83.3,,36,3243,2800,2801,2800,443,8,5650,7,4100,1.378,0,0,0,1,0.125,2,2,0,5,2,0,False,True,87.5,,42,3783,3300,3301,3300,483,8,5650,8,6100,0.9262,0,0,0,1,0.125,2,2,0,5,2,0,False,True,87.5,,0,1,8,"effective_deadline: easy→medium LOOSER (e=2200, m=2800); effective_deadline: medium→hard LOOSER (m=2800, h=3300)",,OK
action-sequenced-execution,F1_combat_micro,True,30,2703,2400,2401,2400,303,4,3100,3,3700,0.8378,0,0,0,1,0.25,3,,0,2,2,0,False,True,75.0,,36,3243,3000,3001,3000,243,6,4300,8,7100,0.6056,0,0,0,1,0.1667,1,1,0,4,3,0,False,True,83.3,,70,6303,5000,5001,5000,1303,6,4100,12,11200,0.3661,0,0,0,1,0.1667,1,1,2,4,3,0,False,True,83.3,,2,1,8,"effective_deadline: easy→medium LOOSER (e=2400, m=3000); effective_deadline: medium→hard LOOSER (m=3000, h=5000); survival_strictness e=0.25 > m=0.17",F-INVERT,fix the inverted metric (tighten hard or loosen medium)
adv-asymmetric-weaker-must-win,F9_tempo_strategy,False,61,5493,5400,5401,5400,93,3,3700,3,2200,1.6818,0,2,0,1,0.3333,2,,0,4,3,0,False,True,66.7,,61,5493,5400,5401,5400,93,3,3700,6,3550,1.0423,0,4,0,1,0.3333,2,,0,4,3,0,False,True,66.7,,51,4593,4500,4501,4500,93,3,3700,6,3550,1.0423,0,4,0,1,0.3333,2,,2,4,3,0,False,True,66.7,,2,3,8,,,OK
adv-rps-counter-pick,F9_tempo_strategy,False,61,5493,5400,5401,5400,93,8,8400,9,2800,3.0,2550,6,0,0,0.0,,,0,3,2,0,True,True,83.0,,61,5493,5400,5401,5400,93,8,8400,13,3200,2.625,2550,8,0,0,0.0,,,0,3,2,0,True,True,78.5,,61,5493,5400,5401,5400,93,8,8400,7,2600,3.2308,2550,5,0,0,0.0,,,4,3,2,0,True,True,85.2,,4,0,6,"kill_quota: medium→hard LOOSER (m=8, h=5); enemy_value: medium→hard LOOSER (m=3200, h=2600); kill_quota m=8 > h=5",F-INVERT|F-INVERT-ENEMY,fix the inverted metric (tighten hard or loosen medium)
adversarial-duel,F9_tempo_strategy,True,30,2703,2400,2401,2400,303,4,3100,3,300,10.3333,0,3,0,1,0.25,3,,0,2,2,0,False,True,75.0,,40,3603,3000,3001,3000,603,4,3100,5,1700,1.8235,0,5,0,1,0.25,3,,0,2,2,0,False,True,73.3,,50,4503,4000,4001,4000,503,4,3100,8,3050,1.0164,0,8,0,1,0.25,3,3,2,3,3,0,False,True,71.0,,2,2,8,"effective_deadline: easy→medium LOOSER (e=2400, m=3000); effective_deadline: medium→hard LOOSER (m=3000, h=4000)",,OK
artofwar-indirect-approach,F9_tempo_strategy,False,60,5403,4000,4001,4000,1403,3,2100,13,5600,0.375,0,0,0,1,0.3333,1,1,0,3,3,0,False,True,66.7,,66,5943,4600,4601,4600,1343,3,2100,17,6800,0.3088,0,0,0,1,0.3333,0,0,0,3,3,0,False,True,66.7,,70,6303,5000,5001,5000,1303,3,2100,17,6800,0.3088,0,0,0,3,1.0,0,0,2,4,3,0,False,True,0.0,,2,0,8,"effective_deadline: easy→medium LOOSER (e=4000, m=4600); effective_deadline: medium→hard LOOSER (m=4600, h=5000)",,OK
artofwar-lure-the-tiger,F9_tempo_strategy,False,66,5943,5800,5801,5800,143,5,3550,12,4500,0.7889,0,0,0,1,0.2,2,2,0,3,3,0,False,True,80.0,,76,6843,6600,6601,6600,243,5,3550,14,4900,0.7245,0,0,0,1,0.2,2,2,0,3,3,0,False,True,80.0,,84,7563,7400,7401,7400,163,5,3550,15,5200,0.6827,0,0,0,1,0.2,2,2,2,3,3,0,False,True,80.0,,2,0,8,"effective_deadline: easy→medium LOOSER (e=5800, m=6600); effective_deadline: medium→hard LOOSER (m=6600, h=7400)",,OK
artofwar-sequenced-citadel,F9_tempo_strategy,False,30,2703,2300,2301,2300,403,3,2550,5,2400,1.0625,0,0,0,1,0.3333,2,,0,3,2,0,False,True,66.7,,30,2703,2300,2301,2300,403,3,2550,5,2400,1.0625,0,0,0,1,0.3333,2,,0,3,2,0,False,True,66.7,,32,2883,2300,2301,2300,583,3,2550,7,2600,0.9808,0,0,0,1,0.3333,1,1,2,4,3,0,False,True,66.7,,2,2,8,,,OK
build-defensive-skirt-corners,F3_defense,False,60,5403,5400,5401,5400,3,4,2900,1,2000,1.45,2400,9,0,0,0.0,,,0,8,2,1,True,True,76.3,,60,5403,5400,5401,5400,3,4,2900,1,2000,1.45,2400,13,0,0,0.0,,,0,8,2,1,True,True,67.4,,60,5403,5400,5401,5400,3,4,2900,1,2000,1.45,2400,13,0,0,0.0,,,2,12,2,1,True,True,67.4,,2,1,6,,,OK
build-defensive-tower-cluster,F3_defense,False,60,5403,5400,5401,5400,3,6,3100,6,2500,1.24,2400,3,0,0,0.0,,,0,5,2,0,True,True,89.6,,60,5403,5400,5401,5400,3,7,3200,9,3200,1.0,2400,5,0,0,0.0,,,0,5,2,0,True,True,85.2,,60,5403,5400,5401,5400,3,7,3200,8,3100,1.0323,2400,6,0,0,0.0,,,2,6,2,1,True,True,83.0,,2,2,6,"enemy_value: medium→hard LOOSER (m=3200, h=3100)",,OK
build-defensive-tower-line,F3_defense,False,60,5403,5400,5401,5400,3,4,2900,1,2000,1.45,1800,4,0,0,0.0,,,0,7,2,1,True,True,87.4,,60,5403,5400,5401,5400,3,5,3200,1,2000,1.6,3000,7,0,0,0.0,,,0,9,2,1,True,True,80.7,,70,6303,6300,6301,6300,3,5,3200,1,2000,1.6,4800,8,0,0,0.0,,,2,10,2,2,True,True,81.6,,2,1,6,"effective_deadline: medium→hard LOOSER (m=5400, h=6300)",,OK
build-engineer-rebuild-after-loss,F6_build_tech,False,30,2703,2700,2701,2700,3,6,7950,2,4000,1.9875,500,0,0,0,0.0,,,0,3,2,0,True,True,,,30,2703,2700,2701,2700,3,6,7950,3,6000,1.325,500,0,0,0,0.0,,,0,3,2,0,True,True,,,30,2703,2700,2701,2700,3,6,7950,5,10000,0.795,500,0,0,0,0.0,,,2,3,2,0,True,True,,,2,2,6,,,OK
build-power-down-defensive,F6_build_tech,False,40,3603,3600,3601,3600,3,7,8200,1,2000,4.1,1000,0,0,0,0.0,,,0,9,3,0,False,True,,,36,3243,3240,3241,3240,3,9,9900,1,2000,4.95,1000,0,0,0,0.0,,,0,11,3,0,False,True,,,36,3243,3240,3241,3240,3,10,10000,1,2000,5.0,1000,0,0,0,0.0,,,2,11,3,0,False,True,,,2,1,6,,,OK
build-power-online-first,F6_build_tech,False,40,3603,3600,3601,3600,3,1,2000,1,2000,1.0,1900,0,0,0,0.0,,,0,2,2,0,True,True,,,32,2883,2880,2881,2880,3,1,2000,1,2000,1.0,1750,0,0,0,0.0,,,0,2,2,0,True,True,,,32,2883,2880,2881,2880,3,2,2100,1,2000,1.05,1750,0,0,0,0.0,,,2,2,2,0,True,True,,,2,1,6,,,OK
build-production-throughput-multibuilding,F6_build_tech,True,35,3153,2700,2701,2700,453,6,7200,1,2000,3.6,9000,0,0,0,0.0,,,0,3,2,0,True,True,,,33,2973,2613,2614,2613,360,6,7200,1,2000,3.6,9000,0,0,0,0.0,,,0,3,2,0,True,True,,,33,2973,2613,2614,2613,360,7,7300,1,2000,3.65,9000,0,0,0,0.0,,,2,3,2,0,True,True,,,2,1,6,,,OK
build-rally-point-management,F6_build_tech,False,30,2703,2700,2701,2700,3,3,2800,2,2500,1.12,1500,1,0,0,0.0,,,0,3,2,0,True,True,88.1,,22,1983,1900,1901,1900,83,3,2800,2,2500,1.12,1500,1,0,0,0.0,,,0,3,2,0,True,True,83.2,,22,1983,1900,1901,1900,83,4,2900,2,2500,1.16,1500,1,0,0,0.0,,,2,3,2,0,True,True,83.2,,2,1,6,,,OK
build-repair-priority-under-fire,F6_build_tech,True,28,2523,2400,2401,2400,123,5,7200,8,3050,2.3607,8000,0,0,0,0.0,,,0,4,3,0,False,True,,,31,2793,2700,2701,2700,93,5,7200,10,3350,2.1493,8000,0,0,0,0.0,,,0,4,3,0,False,True,,,31,2793,2700,2701,2700,93,6,7300,10,3350,2.1791,8000,0,0,0,0.0,,,2,4,3,0,False,True,,,2,0,6,"effective_deadline: easy→medium LOOSER (e=2400, m=2700)",,OK
build-sell-and-rebuild-elsewhere,F6_build_tech,True,60,5403,4500,4501,4500,903,3,3700,3,2200,1.6818,800,0,0,0,0.0,,,0,3,2,0,True,True,,,60,5403,4500,4501,4500,903,3,3700,4,2300,1.6087,700,0,0,0,0.0,,,0,3,2,0,True,True,,,60,5403,4500,4501,4500,903,4,3800,4,2300,1.6522,700,0,0,0,0.0,,,2,6,2,0,True,True,,,2,1,6,,,OK
build-sequence-tech-cheapest,F6_build_tech,False,40,3603,3200,3201,3200,403,1,2000,1,2000,1.0,3750,0,0,0,0.0,,,0,2,2,0,True,True,,,40,3603,3200,3201,3200,403,1,2000,1,2000,1.0,3720,0,0,0,0.0,,,0,2,2,0,True,True,,,40,3603,3200,3201,3200,403,2,2100,1,2000,1.05,3720,0,0,0,0.0,,,2,2,2,0,True,True,,,2,0,6,,,OK
build-sequence-tech-fastest,F6_build_tech,False,40,3603,3000,3001,3000,603,1,2000,1,2000,1.0,5000,0,0,0,0.0,,,0,2,2,0,True,True,,,35,3153,2800,2801,2800,353,1,2000,1,2000,1.0,5000,0,0,0,0.0,,,0,2,2,0,True,True,,,35,3153,2800,2801,2800,353,2,2100,1,2000,1.05,5000,0,0,0,0.0,,,2,2,2,0,True,True,,,2,1,6,,,OK
build-sequence-tech-most-resilient,F6_build_tech,False,60,5403,5400,5401,5400,3,5,6000,1,2000,3.0,0,0,0,0,0.0,,,0,5,2,1,True,True,,,50,4503,4500,4501,4500,3,5,6000,1,2000,3.0,6000,0,0,0,0.0,,,0,5,2,1,True,True,,,50,4503,4500,4501,4500,3,5,6000,1,2000,3.0,6000,0,0,0,0.0,,,2,5,2,2,True,True,,,2,1,6,,,OK
build-tech-skip-decision,F6_build_tech,True,30,2703,1600,1601,1600,1103,2,2500,6,2500,1.0,6000,4,0,0,0.0,,,0,3,2,0,True,True,57.5,,30,2703,1400,1401,1400,1303,2,2500,8,2700,0.9259,6000,6,0,0,0.0,,,0,3,2,0,True,True,34.3,,30,2703,1400,1401,1400,1303,3,2600,15,3400,0.7647,6000,6,0,0,0.0,,,2,3,2,0,True,True,34.3,,2,4,6,,,OK
