"pack","level","capability","map_name","map_size","map_fit","tools","agent_force","enemy_force","enemy_posture","posture_issue","briefing_RA","win_condition","lose_condition","max_turns","tick_budget","starting_cash","economy_setup","wrong_strategy_loss"
"econ-burn-rate-management","easy","reasoning","econ-burn-rate-management-56x40","56x40","fit","observe, build, place_building, harvest, move_units, attack_unit, attack_move, stop","Full Allied base @(10-18,18-22): fact + proc + 2× powr + tent + weap + fix + 2× harv on 2 near mines + 3× medium tank @(20,19-21) on HOLD-FIRE","3× rifle infantry garrison @(40,20-22) on Defend stance + anti-DRAW enemy fact @(124,36)","static (st2 e1 garrison) + anti-DRAW sentinel","","Commander, this is a burn-rate discipline drill. You hold a mature Allied base — Construction Yard (fact), Ore Refinery (proc), two Power Plants (powr), Allied Barracks (tent), War Factory (weap) and Service Depot (fix) — with two harvesters (harv, unarmed ore trucks) on two nearby ore patches feeding roughly $190 per turn, $1500 starting cash, and three pre-placed medium tanks (2tnk). Within about 14 turns, kill at least two enemies in the small central garrison at x=40, keep your Construction Yard standing, and finish with cash inside the band $400 to $1800. Sitting idle lets income lift cash past $1800; over-spending on extra production or pillboxes drops it below $400.","Kill ≥2 enemies AND cash in [$400, $1800] AND Construction Yard standing, within 1200 ticks.","Construction Yard lost, or deadline (1201 ticks).","14","1263","1500","2 harvs on 2 near patches @(22,18)/(22,20) feed ~190 cr/turn combined; starting cash 1500 + 3 pre-placed medium tanks for kill bar","Stall (observe only) drifts cash above $1800 ceiling with 0 kills → LOSS. Tank-only attack hoards cash above ceiling → LOSS. Chain-build pbox/powr drops cash below $400 floor → LOSS."
"econ-burn-rate-management","medium","reasoning","econ-burn-rate-management-56x40","56x40","fit","observe, build, place_building, harvest, move_units, attack_unit, attack_move, stop","Full Allied base @(10-18,18-22): fact + proc + 2× powr + tent + weap + fix + 2× harv on 2 near mines + 3× medium tank @(20,19-21) on HOLD-FIRE","5× rifle infantry garrison @(40,19-23) on Defend stance + anti-DRAW enemy fact @(124,36)","static (st2 e1 garrison) + anti-DRAW sentinel","","Commander, this is a tighter burn-rate drill. You hold the same mature Allied base — Construction Yard (fact), Ore Refinery (proc), two Power Plants (powr), Allied Barracks (tent), War Factory (weap) and Service Depot (fix) — with two harvesters on two ore patches feeding roughly $190 per turn, $1500 starting cash, and three pre-placed medium tanks (2tnk). Within about 12 turns, kill at least three enemies in the larger central garrison, keep the Construction Yard standing, and land cash inside the narrower band $400 to $1500. Only a sustained two-to-three-tank commitment at the replenishment rate hits the band on the kill-bar turn — hoarding drifts above $1500, all-out spending crashes below $400.","Kill ≥3 enemies AND cash in [$400, $1500] AND fact standing, within 1080 ticks.","Construction Yard lost, or deadline (1081 ticks).","12","1083","1500","2 harvs on 2 near patches @ ~190 cr/turn; 3 pre-placed 2tnk; narrower band 1100 wide vs easy 1400","Stall above $1500 ceiling, 0 kills → LOSS. Chain-build (4+ tanks + extra building) drops cash below $400 → LOSS."
"econ-burn-rate-management","hard","reasoning","econ-burn-rate-management-56x40","56x40","fit","observe, build, place_building, harvest, move_units, attack_unit, attack_move, stop","Full Allied base seed-rotated NORTH (y=14) or SOUTH (y=26) by spawn: fact + proc + 2× powr + tent + weap + fix + 2× harv + 3× medium tank on HOLD-FIRE","6× rifle infantry garrison duplicated at both NORTH (y=14) and SOUTH (y=26) latitudes at x=40 on Defend stance + anti-DRAW enemy fact @(124,36)","static (st2 e1 garrison) + anti-DRAW sentinel","","Commander, this is the tightest burn-rate drill with seed-rotated base latitude. You hold a mature Allied base — Construction Yard (fact), Ore Refinery (proc), two Power Plants (powr), Allied Barracks (tent), War Factory (weap) and Service Depot (fix) — at either the NORTH or SOUTH latitude (the seed picks), with two harvesters on two ore patches, three pre-placed medium tanks (2tnk), and $1500 starting cash. Within about 11 turns, kill at least four enemies in the matching central garrison, keep the Construction Yard standing, and finish with cash inside the band $300 to $1499. The clock is short — over-spending cannot recover and pure hoarding drifts past the ceiling on either spawn.","Kill ≥4 enemies AND cash in [$300, $1499] AND fact standing, within 990 ticks.","Construction Yard lost, or deadline (991 ticks).","11","993","1500","2 harvs on 2 near patches @ ~190 cr/turn (per spawn); 3 pre-placed 2tnk per spawn; very tight band 1199 wide","Stall hoards above $1499 → LOSS. Burn-everything crashes below $300 → LOSS. Memorised attack vector misses on wrong spawn → LOSS."
"econ-buy-vs-build-decision","easy","reasoning","econ-buy-vs-build-80x40","80x40","fit","build, place_building, move_units, attack_unit, attack_move, stop","Allied base @(10,20): fact + proc + powr + weap + fix; NO units; $3400 cash","4× rifle infantry @(70,20) HUNTER (st3) charging fact + anti-DRAW enemy fact @(76,20)","hunter (st3 rusher rifle wave; bot_type:rusher charges agent centroid)","","Commander, this is a capex-vs-opex call under live rush pressure. You hold a Construction Yard (fact), Ore Refinery (proc), Power Plant (powr), War Factory (weap) and Service Depot (fix), no units, and exactly $3400 in the bank. Four rifle infantry (e1) are charging your yard from the lane mouth NOW. The budget covers EITHER four medium tanks (2tnk, $850 each) from the existing war factory OR a second war factory ($2000, leaving $1400 — one tank). Within about 17 turns, kill at least three enemies and keep your Construction Yard standing. A second factory does not field a defender in time.","Kill ≥3 enemies AND fact standing, within 1499 ticks.","Construction Yard razed, or deadline (1500 ticks).","25","2253","3400","No income engine — must spend $3400 on units. Budget = exactly 4× 2tnk OR 1× weap + 1× 2tnk residual","Stall → fact razed by rush → LOSS. Build-weap-first spends $2000, first new tank fields too late → fact razed → LOSS."
"econ-buy-vs-build-decision","medium","reasoning","econ-buy-vs-build-80x40","80x40","fit","build, place_building, move_units, attack_unit, attack_move, stop","Allied base @(10,20): fact + proc + powr + weap + fix; NO units; $3400 cash","5× rifle infantry @(70,20) HUNTER (st3) charging fact + anti-DRAW enemy fact @(76,20)","hunter (st3 rusher rifle wave; bot_type:rusher charges agent centroid)","","Commander, this is a heavier capex-vs-opex call under live rush pressure. You hold a Construction Yard (fact), Ore Refinery (proc), Power Plant (powr), War Factory (weap) and Service Depot (fix), no units, and exactly $3400 in the bank. Five rifle infantry (e1) are charging your yard from the lane mouth NOW. The budget covers EITHER four medium tanks (2tnk, $850 each) from the existing war factory OR a second war factory ($2000, residual $1400 — one tank). Within about 17 turns, kill at least four enemies and keep your Construction Yard standing. Long-run capacity does not survive the incoming wall.","Kill ≥4 enemies AND fact standing, within 1499 ticks.","Construction Yard razed, or deadline (1500 ticks).","25","2253","3400","No income — $3400 budget chooses 4× 2tnk (immediate force) or 1× weap (long-run capacity, 1 residual tank)","Stall → fact razed → LOSS. Build-weap-first → 1 tank fields, fact razed by 5-man rush → LOSS."
"econ-buy-vs-build-decision","hard","reasoning","econ-buy-vs-build-80x40","80x40","fit","build, place_building, move_units, attack_unit, attack_move, stop","Allied base seed-rotated NORTH (y=14) or SOUTH (y=26): fact + proc + powr + weap + fix + inert spawn-witness e1; NO combat units; $3400 cash","5× rifle infantry + 1× rocket soldier per matched spawn @(70-72, 14 or 26) HUNTER (st3 rusher) + anti-DRAW enemy fact @(76, 14 or 26) at matching latitude","hunter (st3 rusher rifle wave; bot_type:rusher charges agent centroid)","","Commander, this is a capex-vs-opex call with seed-rotated base latitude. You hold a Construction Yard (fact), Ore Refinery (proc), Power Plant (powr), War Factory (weap) and Service Depot (fix) at either the NORTH (y=14) or SOUTH (y=26) latitude — the seed picks — with no combat units and exactly $3400 cash. Five rifle infantry (e1) and one rocket soldier (e3) are charging your live yard from the lane mouth NOW. The budget covers EITHER four medium tanks (2tnk, $850 each) from the existing war factory OR a second war factory ($2000, residual $1400 — one tank). Within about 19 turns, kill at least five enemies and keep your Construction Yard standing.","Kill ≥5 enemies AND fact standing, within 1649 ticks.","Construction Yard razed, or deadline (1650 ticks).","25","2253","3400","No income — same $3400 budget choice on either spawn; 5× e1 + 1× e3 mixed-rush wave","Stall → fact razed → LOSS. Build-weap-first → only 1 tank in time, mixed wave overruns fact → LOSS."
"econ-cash-reserve-management","easy","reasoning","econ-cash-reserve-management-48x40","48x40","fit","observe, build, place_building, harvest, move_units, stop","Allied base @(10-14,18-22): fact + proc + tent + powr + 2× harv on 2 near mines","1× anti-DRAW rifle infantry @(42,4) HoldFire","passive (st0 anti-DRAW e1 far east) — no enemy interaction","","Commander, this is a treasury-discipline drill. You hold four buildings — Construction Yard (fact), Ore Refinery (proc), Allied Barracks (tent) and Power Plant (powr) — with two harvesters (harv, unarmed ore trucks) on two near ore patches feeding about $95 per turn, and $1500 starting cash. Within about 60 turns, grow the base to at least five buildings (a second Power Plant at $300 is the cheapest add), keep both harvesters alive, and finish with at least $300 in the bank. Stalling never adds the building; sinking $1400 into a second refinery dips the reserve below the floor at the latch moment.","building_total ≥5 AND cash ≥$300 AND 2 harvs alive, within 5400 ticks.","Construction Yard lost, or deadline (5401 ticks).","60","5403","1500","2 harvs on 2 near patches @ ~190 cr/turn combined; building_total starts at 4; cheapest add is $300 powr","Stall builds nothing → building bar unmet → LOSS. Over-spend $1400 on 2nd proc dips reserve under $300 → LOSS."
"econ-cash-reserve-management","medium","reasoning","econ-cash-reserve-management-48x40","48x40","fit","observe, build, place_building, harvest, move_units, stop","Allied base @(10-14,18-22): fact + proc + tent + powr + 2× harv on 2 near mines","1× anti-DRAW rifle infantry @(42,4) HoldFire","passive (st0 anti-DRAW e1 far east) — no enemy interaction","","Commander, this is a tighter treasury drill. You hold four buildings — Construction Yard (fact), Ore Refinery (proc), Allied Barracks (tent) and Power Plant (powr) — with two harvesters on two near ore patches feeding roughly $95 per turn, and $1500 starting cash. Within about 9 turns, grow the base to at least six buildings (two more), keep both harvesters alive, and finish with at least $300 in the bank. Two Power Plants at $300 each fit cleanly; a second refinery at $1400 dips cash too low to recover before the clock.","building_total ≥6 AND cash ≥$300 AND 2 harvs alive, within 810 ticks.","Construction Yard lost, or deadline (811 ticks).","10","903","1500","2 harvs ~190 cr/turn; build 2 cheap powr (2×$300) leaves $900; 2nd proc $1400 dips reserve","Stall → 0 new buildings → LOSS. 2nd proc ($1400) dips reserve below $300 within clock → LOSS."
"econ-cash-reserve-management","hard","reasoning","econ-cash-reserve-management-48x40","48x40","fit","observe, build, place_building, harvest, move_units, stop","Allied base seed-rotated NORTH (y=14) or SOUTH (y=28): fact + proc + tent + powr + 2× harv on matching latitude patches","1× anti-DRAW rifle infantry @(42,4) HoldFire","passive (st0 anti-DRAW e1 far east) — no enemy interaction","","Commander, this is the tightest treasury drill with seed-rotated base latitude. You hold a Construction Yard (fact), Ore Refinery (proc), Allied Barracks (tent) and Power Plant (powr) — at either the NORTH (y=14) or SOUTH (y=28) latitude, the seed picks — with two harvesters on matching near ore patches and $1500 starting cash. Within about 12 turns, grow the base to at least seven buildings (three more), keep both harvesters alive, and finish with at least $500 in the bank. Three Power Plants at $300 each leave $600; mixing in a Pillbox or a second refinery busts the larger reserve before income can refill.","building_total ≥7 AND cash ≥$500 AND 2 harvs alive, within 1080 ticks.","Construction Yard lost, or deadline (1081 ticks).","12","1083","1500","2 harvs @ ~190 cr/turn per spawn; 3× powr (3×$300=$900) leaves $600 just above $500 reserve","Stall → no new buildings → LOSS. 3× pbox ($1800) crashes below $500 reserve → LOSS. 2nd proc ($1400) busts reserve → LOSS."
"econ-contention-with-enemy","easy","reasoning","econ-contention-with-enemy-96x40","96x40","fit","observe, build, place_building, harvest, move_units, attack_unit, attack_move, stop","Allied west base @(8-14,18-20): fact + proc + 2× harv + 2× medium tank @(6,19/21) on Defend stance","1× enemy heavy tank @(40,20) (raider bot) + visible enemy economy proc @(80,20) + 2× enemy harv @(76,18/22) + anti-DRAW enemy fact @(92,20)","hunter (raider bot — drives at nearest agent harv each turn)","","Commander, this is a contested-economy drill. Your Construction Yard (fact), Ore Refinery (proc) and two harvesters (harv, unarmed ore trucks) sit at the west base, with two medium tanks (2tnk) on garrison. A shared ore patch lies just east at x=22; an enemy heavy tank (3tnk) is approaching from mid-map and targeting your harvesters. Your tanks are too far back to see the patch from garrison. Within about 50 turns, drive the defenders forward to intercept the raider at the patch while the harvesters keep mining (they auto-route once a refinery exists). Win requires economy value 1500, at least one kill, and both harvesters still alive.","economy_value ≥$1500 AND 2 harvs alive AND ≥1 kill, within 4500 ticks.","Both harvs lost, or deadline (4501 ticks).","51","4593","500","2 harvs auto-cycle near patch @(22,18)/(22,20); starting cash 500; 2× 2tnk defenders at base x=6 (too far back to cover patch)","Stall → raider kills both harvs at patch → harv bar fails → LOSS. Pure defense (no harvest setup) loses time bar. Pure harvest no intercept → harvs die."
