pack,tier,predicate_kind,predicate_coord,arena_size,nearest_actor_coord,nearest_actor_type,distance,defect_class,recommendation
artofwar-lure-the-tiger,easy,units_in_region_gte,"(112,20,r=6)",128x48,"(112,20)",fact(enemy),0,OK,OK
artofwar-lure-the-tiger,medium,units_in_region_gte,"(112,20,r=6)",128x48,"(112,20)",fact(enemy),0,OK,OK
artofwar-lure-the-tiger,hard,units_in_region_gte,"(112,20,r=6)",128x48,"(112,20)",fact(enemy),0,OK,OK
build-defensive-tower-line,easy,building_in_region,"(60,8,r=0.5)",112x48,"(14,18)",tent(agent),46,OK,OK
build-defensive-tower-line,easy,building_in_region,"(60,20,r=0.5)",112x48,"(14,18)",tent(agent),46,OK,OK
build-defensive-tower-line,easy,building_in_region,"(60,32,r=0.5)",112x48,"(14,18)",tent(agent),46,OK,OK
build-defensive-tower-line,medium,building_in_region,"(60,4,r=0.5)",112x48,"(14,18)",tent(agent),46,OK,OK
build-defensive-tower-line,medium,building_in_region,"(60,12,r=0.5)",112x48,"(14,18)",tent(agent),46,OK,OK
build-defensive-tower-line,medium,building_in_region,"(60,20,r=0.5)",112x48,"(14,18)",tent(agent),46,OK,OK
build-defensive-tower-line,medium,building_in_region,"(60,28,r=0.5)",112x48,"(14,18)",tent(agent),46,OK,OK
build-defensive-tower-line,medium,building_in_region,"(60,36,r=0.5)",112x48,"(14,18)",tent(agent),46,OK,OK
build-defensive-tower-line,hard,building_in_region,"(60,4,r=0.5)",112x48,"(10,12)",fact(agent),50,OK,OK
build-defensive-tower-line,hard,building_in_region,"(60,10,r=0.5)",112x48,"(10,12)",fact(agent),50,OK,OK
build-defensive-tower-line,hard,building_in_region,"(60,16,r=0.5)",112x48,"(10,12)",fact(agent),50,OK,OK
build-defensive-tower-line,hard,building_in_region,"(60,22,r=0.5)",112x48,"(10,12)",fact(agent),50,OK,OK
build-defensive-tower-line,hard,building_in_region,"(60,28,r=0.5)",112x48,"(10,12)",fact(agent),50,OK,OK
build-defensive-tower-line,hard,building_in_region,"(60,34,r=0.5)",112x48,"(10,12)",fact(agent),50,OK,OK
build-rally-point-management,easy,units_in_region_gte,"(62,20,r=5)",80x40,"(62,20)",barr(enemy),0,OK,OK
build-rally-point-management,medium,units_in_region_gte,"(62,20,r=5)",80x40,"(62,20)",barr(enemy),0,OK,OK
build-rally-point-management,hard,units_in_region_gte,"(62,20,r=5)",80x40,"(62,20)",barr(enemy),0,OK,OK
build-sell-and-rebuild-elsewhere,easy,building_in_region,"(16,8,r=6)",96x40,"(4,4)",fact(agent),12,OK,OK
build-sell-and-rebuild-elsewhere,medium,building_in_region,"(16,8,r=6)",96x40,"(4,4)",fact(agent),12,OK,OK
build-sell-and-rebuild-elsewhere,hard,building_in_region,"(4,4,r=4)",96x40,"(4,4)",fact(agent),0,OK,OK
build-sell-and-rebuild-elsewhere,hard,building_in_region,"(16,8,r=6)",96x40,"(4,4)",fact(agent),12,OK,OK
build-sell-and-rebuild-elsewhere,hard,building_in_region,"(4,36,r=4)",96x40,"(4,36)",fact(agent),0,OK,OK
build-sell-and-rebuild-elsewhere,hard,building_in_region,"(16,36,r=6)",96x40,"(4,36)",fact(agent),12,OK,OK
building-and-planning,medium,building_in_region,"(40,20,r=9)",80x40,"(10,18)",fact(agent),30,OK,OK
building-and-planning,hard,building_in_region,"(60,20,r=10)",80x40,"(10,18)",fact(agent),50,OK,OK
combat-skirmish-then-disengage,easy,units_in_region_gte,"(4,20,r=6)",64x40,"(4,20)",jeep(agent),0,OK,OK
combat-skirmish-then-disengage,medium,units_in_region_gte,"(4,20,r=6)",64x40,"(4,20)",jeep(agent),0,OK,OK
combat-skirmish-then-disengage,hard,units_in_region_gte,"(4,10,r=6)",64x40,"(4,10)",jeep(agent),0,OK,OK
combat-skirmish-then-disengage,hard,units_in_region_gte,"(4,30,r=6)",64x40,"(4,30)",jeep(agent),0,OK,OK
combat-suicide-charge-mission,easy,enemy_key_buildings_destroyed_in_region,"(50,20,r=6)",56x40,"(50,20)",fact(enemy),0,OK,OK
combat-suicide-charge-mission,medium,enemy_key_buildings_destroyed_in_region,"(50,20,r=6)",56x40,"(50,20)",fact(enemy),0,OK,OK
combat-suicide-charge-mission,hard,enemy_key_buildings_destroyed_in_region,"(50,20,r=6)",56x40,"(50,20)",fact(enemy),0,OK,OK
coord-converge-on-target,easy,units_in_region_gte,"(100,20,r=8)",128x48,"(100,20)",fact(enemy),0,OK,OK
coord-converge-on-target,medium,units_in_region_gte,"(100,20,r=8)",128x48,"(100,20)",fact(enemy),0,OK,OK
coord-converge-on-target,hard,units_in_region_gte,"(100,20,r=8)",128x48,"(100,20)",fact(enemy),0,OK,OK
coord-cover-and-move,easy,units_in_region_gte,"(100,20,r=6)",112x40,"(106,35)",fact(enemy),15,OK,OK
coord-cover-and-move,medium,units_in_region_gte,"(100,20,r=6)",112x40,"(106,35)",fact(enemy),15,OK,OK
coord-cover-and-move,hard,units_in_region_gte,"(100,20,r=6)",112x40,"(106,35)",fact(enemy),15,OK,OK
coord-diversionary-attack,easy,enemy_key_buildings_destroyed_in_region,"(100,10,r=6)",112x40,"(100,10)",fact(enemy),0,OK,OK
coord-diversionary-attack,medium,enemy_key_buildings_destroyed_in_region,"(100,10,r=6)",112x40,"(100,10)",fact(enemy),0,OK,OK
coord-diversionary-attack,hard,enemy_key_buildings_destroyed_in_region,"(100,10,r=6)",112x40,"(100,10)",fact(enemy),0,OK,OK
coord-mutual-support,easy,units_in_region_gte,"(40,20,r=5)",96x40,"(38,23)",e3(enemy),3,OK,OK
coord-mutual-support,easy,units_in_region_gte,"(60,20,r=6)",96x40,"(59,19)",e3(enemy),1,OK,OK
coord-mutual-support,medium,units_in_region_gte,"(40,20,r=5)",96x40,"(36,24)",e3(enemy),4,OK,OK
coord-mutual-support,medium,units_in_region_gte,"(60,20,r=6)",96x40,"(59,19)",e3(enemy),1,OK,OK
coord-mutual-support,hard,units_in_region_gte,"(43,20,r=5)",96x40,"(46,20)",e3(enemy),3,OK,OK
coord-mutual-support,hard,units_in_region_gte,"(60,20,r=6)",96x40,"(59,19)",e3(enemy),1,OK,OK
coord-relay-vision-chain,easy,units_in_region_gte,"(45,20,r=6)",120x40,"(16,20)",jeep(agent),29,OK,OK
coord-relay-vision-chain,easy,units_in_region_gte,"(75,20,r=6)",120x40,"(108,20)",e3(enemy),33,OK,OK
coord-relay-vision-chain,easy,units_in_region_gte,"(108,20,r=6)",120x40,"(108,20)",e3(enemy),0,OK,OK
coord-relay-vision-chain,medium,units_in_region_gte,"(45,20,r=6)",120x40,"(16,20)",jeep(agent),29,OK,OK
coord-relay-vision-chain,medium,units_in_region_gte,"(60,20,r=6)",120x40,"(108,20)",e3(enemy),48,OK,OK
coord-relay-vision-chain,medium,units_in_region_gte,"(75,20,r=6)",120x40,"(108,20)",e3(enemy),33,OK,OK
coord-relay-vision-chain,medium,units_in_region_gte,"(108,20,r=6)",120x40,"(108,20)",e3(enemy),0,OK,OK
coord-relay-vision-chain,hard,units_in_region_gte,"(45,13,r=6)",120x40,"(16,13)",jeep(agent),29,OK,OK
coord-relay-vision-chain,hard,units_in_region_gte,"(60,13,r=6)",120x40,"(108,13)",e3(enemy),48,OK,OK
coord-relay-vision-chain,hard,units_in_region_gte,"(75,13,r=6)",120x40,"(108,13)",e3(enemy),33,OK,OK
coord-relay-vision-chain,hard,units_in_region_gte,"(108,13,r=6)",120x40,"(108,13)",e3(enemy),0,OK,OK
coord-relay-vision-chain,hard,units_in_region_gte,"(45,27,r=6)",120x40,"(16,13)",jeep(agent),29,OK,OK
coord-relay-vision-chain,hard,units_in_region_gte,"(60,27,r=6)",120x40,"(108,13)",e3(enemy),48,OK,OK
coord-relay-vision-chain,hard,units_in_region_gte,"(75,27,r=6)",120x40,"(108,13)",e3(enemy),33,OK,OK
coord-relay-vision-chain,hard,units_in_region_gte,"(108,27,r=6)",120x40,"(108,27)",e3(enemy),0,OK,OK
coord-squad-handoff,easy,units_of_type_in_region_gte,"(50,10,r=8)",116x40,"(5,5)",jeep(agent),45,OK,OK
coord-squad-handoff,easy,units_of_type_in_region_gte,"(90,30,r=8)",116x40,"(5,5)",jeep(agent),85,OK,OK
coord-squad-handoff,medium,units_of_type_in_region_gte,"(50,10,r=8)",116x40,"(5,5)",jeep(agent),45,OK,OK
coord-squad-handoff,medium,units_of_type_in_region_gte,"(90,30,r=8)",116x40,"(5,5)",jeep(agent),85,OK,OK
coord-squad-handoff,medium,units_of_type_in_region_gte,"(60,20,r=8)",116x40,"(5,5)",jeep(agent),55,OK,OK
coord-squad-handoff,hard,units_of_type_in_region_gte,"(50,10,r=8)",116x40,"(5,5)",jeep(agent),45,OK,OK
coord-squad-handoff,hard,units_of_type_in_region_gte,"(90,30,r=8)",116x40,"(5,5)",jeep(agent),85,OK,OK
coord-squad-handoff,hard,units_of_type_in_region_gte,"(60,20,r=8)",116x40,"(5,5)",jeep(agent),55,OK,OK
coord-squad-handoff,hard,units_of_type_in_region_gte,"(100,15,r=8)",116x40,"(5,5)",jeep(agent),95,OK,OK
coordination-staggered-window,easy,units_in_region_gte,"(115,6,r=8)",124x40,"(115,6)",barr(enemy),0,OK,OK
coordination-staggered-window,easy,units_in_region_gte,"(20,36,r=8)",124x40,"(20,36)",proc(enemy),0,D2,"fix predicate: coord (20,36) out of arena 124x40 cordon=4"
coordination-staggered-window,medium,units_in_region_gte,"(115,6,r=8)",124x40,"(115,6)",barr(enemy),0,OK,OK
coordination-staggered-window,medium,units_in_region_gte,"(20,36,r=8)",124x40,"(20,36)",proc(enemy),0,D2,"fix predicate: coord (20,36) out of arena 124x40 cordon=4"
coordination-staggered-window,hard,units_in_region_gte,"(115,6,r=8)",124x40,"(115,6)",barr(enemy),0,OK,OK
coordination-staggered-window,hard,units_in_region_gte,"(20,36,r=8)",124x40,"(20,36)",proc(enemy),0,D2,"fix predicate: coord (20,36) out of arena 124x40 cordon=4"
coordination-staggered-window,hard,units_in_region_gte,"(115,34,r=8)",124x40,"(115,34)",powr(enemy),0,OK,OK
def-evacuation,easy,units_in_region_gte,"(90,12,r=6)",136x48,"(125,20)",fact(enemy),35,OK,OK
def-evacuation,medium,units_in_region_gte,"(90,6,r=6)",136x48,"(125,20)",fact(enemy),35,OK,OK
def-evacuation,hard,units_in_region_gte,"(90,6,r=6)",136x48,"(125,20)",fact(enemy),35,OK,OK
def-evacuation,hard,units_in_region_gte,"(90,34,r=6)",136x48,"(125,20)",fact(enemy),35,OK,OK
def-in-depth,easy,building_in_region,"(25,20,r=4)",64x40,"(25,19)",pbox(agent),1,OK,OK
def-in-depth,easy,building_in_region,"(15,20,r=4)",64x40,"(8,20)",fact(agent),7,OK,OK
def-in-depth,medium,building_in_region,"(25,20,r=4)",64x40,"(25,19)",pbox(agent),1,OK,OK
def-in-depth,medium,building_in_region,"(15,20,r=4)",64x40,"(8,20)",fact(agent),7,OK,OK
def-in-depth,hard,building_in_region,"(25,14,r=4)",64x40,"(25,13)",pbox(agent),1,OK,OK
def-in-depth,hard,building_in_region,"(15,14,r=4)",64x40,"(8,14)",fact(agent),7,OK,OK
def-in-depth,hard,building_in_region,"(25,26,r=4)",64x40,"(25,25)",pbox(agent),1,OK,OK
def-in-depth,hard,building_in_region,"(15,26,r=4)",64x40,"(8,26)",fact(agent),7,OK,OK
def-multi-direction,easy,units_in_region_gte,"(64,12,r=5)",128x40,"(64,4)",e1(enemy),8,OK,OK
def-multi-direction,easy,units_in_region_gte,"(64,28,r=5)",128x40,"(64,36)",e1(enemy),8,OK,OK
def-multi-direction,medium,units_in_region_gte,"(64,12,r=5)",128x40,"(64,4)",e1(enemy),8,OK,OK
def-multi-direction,medium,units_in_region_gte,"(64,28,r=5)",128x40,"(64,36)",e1(enemy),8,OK,OK
def-multi-direction,medium,units_in_region_gte,"(108,20,r=5)",128x40,"(124,20)",e1(enemy),16,OK,OK
def-multi-direction,hard,units_in_region_gte,"(36,8,r=5)",128x40,"(28,2)",e1(enemy),8,OK,OK
def-multi-direction,hard,units_in_region_gte,"(92,8,r=5)",128x40,"(100,2)",e1(enemy),8,OK,OK
def-multi-direction,hard,units_in_region_gte,"(36,20,r=5)",128x40,"(28,16)",e1(enemy),8,OK,OK
def-multi-direction,hard,units_in_region_gte,"(92,20,r=5)",128x40,"(100,16)",e1(enemy),8,OK,OK
