"pack","level","capability","map_name","map_size","map_fit","tools","agent_force","enemy_force","enemy_posture","posture_issue","briefing_RA","win_condition","lose_condition","max_turns","tick_budget","starting_cash","tech_chain","build_time_check","leak_flag","production_audit_issue"
"build-engineer-rebuild-after-loss","easy","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, harvest, move_units, attack_unit, stop","Construction Yard @(8,18) + Refinery @(10,18) + War Factory @(12,18) + LOW-HP (15%) Power Plant @(14,18) + Harvester @(10,20) + ore patch @(22,18) + 1× heavy tank (3tnk) defender @(16,22); $500 cash","1× heavy tank (4tnk) @(15,18) on Attack-Anything adjacent to the low-HP Power Plant; sentinel Construction Yard @(120,20)","enemy 4tnk st3 adjacent to low-HP powr; matches briefing — one-shot kill is the test","","Commander, this is a disaster-recovery replan. You inherit a complete production base — Construction Yard, Refinery, War Factory, Power Plant, Harvester with an ore patch — and one heavy tank defender. Cash $500. The Power Plant is at 15% HP and a single enemy heavy tank sits ADJACENT to it on Attack-Anything orders — the plant WILL be destroyed in the opening seconds. Your defender tank will engage the striker eventually. Win: the Power Plant must be DESTROYED, then REBUILT, AND a Refinery must still stand at the end, within about 30 turns. Stalling, ignoring the rebuild, or spending the reserve on army units all miss the bar.","then-latch: Power Plant destroyed → Power Plant rebuilt, AND a Refinery stands, within 2700 ticks.","Construction Yard destroyed, or deadline (2701 ticks).","30","2703","500","powr (rebuild only — proc/weap/fix pre-placed)","ok (powr 6s rebuild, 30-turn ceiling)","clean",""
"build-engineer-rebuild-after-loss","medium","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, harvest, move_units, attack_unit, stop","Same base — fact/proc/weap/low-HP powr/harv/ore + 1× heavy tank (3tnk) defender; $500","TWO heavy tanks (4tnk) @(15,17) and @(15,19) on Attack-Anything beside the low-HP Power Plant — the second tank guarantees the kill and lingers to engage a too-close rebuild","enemy 4tnk×2 st3 adjacent to low-HP powr; matches briefing","","Commander, this is a disaster-recovery replan under heavier pressure. Same inherited base — Construction Yard, Refinery, War Factory, low-HP Power Plant, Harvester, ore patch, one heavy tank defender — and $500 cash. TWO enemy heavy tanks sit adjacent to the Power Plant; the plant falls on turn 1 and both attackers linger to engage a fresh plant placed too close. Win: the Power Plant must be DESTROYED, then REBUILT (somewhere safe from the lingering attackers), AND a Refinery must still stand, within about 30 turns.","then-latch: Power Plant destroyed → Power Plant rebuilt, AND a Refinery stands, within 2700 ticks.","Construction Yard destroyed, or deadline (2701 ticks).","30","2703","500","powr (rebuild only, with safe placement axis)","ok (powr 6s rebuild, 30-turn ceiling)","clean",""
"build-engineer-rebuild-after-loss","hard","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, harvest, move_units, attack_unit, stop","Same base layout (fact/proc/weap/low-HP powr/harv/3tnk defender) flips NORTH (y=18) or SOUTH (y=26) by seed; $500","2× heavy tank (4tnk) duplicated at BOTH latitudes (y=17/19 NORTH; y=25/27 SOUTH); the on-latitude tanks kill the active powr, the off-latitude pair sits at the filtered-out dormant cells","enemy 4tnk×2 st3 duplicated both latitudes; matches briefing","","Commander, this is a disaster-recovery replan with seed-rotated staging. Your base — Construction Yard, Refinery, War Factory, low-HP Power Plant, Harvester, ore patch, one heavy tank defender — may stage at the NORTH (y=18) or SOUTH (y=26) latitude depending on seed. TWO enemy heavy tanks at your latitude raze the Power Plant on turn 1. Read the Construction Yard's position, rebuild the Power Plant adjacent to it on the safe side from the strike. Win: destroyed-then-rebuilt Power Plant AND a surviving Refinery, within about 30 turns.","then-latch: Power Plant destroyed → Power Plant rebuilt, AND a Refinery stands, within 2700 ticks.","Construction Yard destroyed, or deadline (2701 ticks).","30","2703","500","powr (rebuild, latitude-dependent placement)","ok (powr 6s rebuild, 30-turn ceiling)","clean",""
"build-power-down-defensive","easy","reasoning","rush-hour-arena","128x40","large-trivial","observe, power_down, sell, stop","fact @(10,18) + powr @(14,18) + proc @(10,22) + tent @(14,22) + barr @(18,22) + weap @(10,26) + dome @(14,26) — provided 100 / drained 140 / surplus −40; $1000","sentinel Construction Yard @(120,20)","no enemy combat — far-east sentinel only","","Commander, this is a load-shedding drill. Your base is OVERDRAWN by 40 power — one Power Plant provides 100, five drainers (Refinery, Barracks, Soviet Barracks, War Factory, Radar Dome) consume 140 total, leaving net surplus −40 (production runs at half speed in low-power). Use `power_down` (a reversible toggle) to shed enough non-essential load to restore non-negative surplus. Do NOT `sell` any building — every drainer must still stand at the end. Do NOT power-down the Power Plant — gross provided power must stay at least 100. Deadline about 40 turns.","Surplus ≥ 0 AND provided power ≥ 100 AND all 7 buildings stand, within 3600 ticks.","Construction Yard or Refinery destroyed, or deadline (3601 ticks).","40","3603","1000","no builds — power_down toggle only","ok (toggle-only, no build chain)","clean",""
"build-power-down-defensive","medium","reasoning","rush-hour-arena","128x40","large-trivial","observe, power_down, sell, stop","Same 7 buildings + fix @(18,26) + hpad @(22,22) — provided 100 / drained 180 / surplus −80; $1000","sentinel Construction Yard @(120,20)","no enemy combat","","Commander, this is a heavier load-shedding drill. Same lone Power Plant (+100) carrying now NINE drainers — Refinery (−30), Allied Barracks (−20), Soviet Barracks (−20), War Factory (−30), Radar Dome (−40), Service Depot (−30), Helipad (−10) — totalling −180. Net surplus −80. No single power-down restores the grid; combinations required. Use `power_down` (reversible) on the right combination so net surplus reaches 0 without selling anything, and without powering down the lone Power Plant. Deadline about 36 turns.","Surplus ≥ 0 AND provided ≥ 100 AND all 9 buildings stand, within 3240 ticks.","Construction Yard or Refinery destroyed, or deadline (3241 ticks).","36","3243","1000","no builds — power_down toggle only","ok (toggle-only, no build chain)","clean",""
"build-power-down-defensive","hard","reasoning","rush-hour-arena","128x40","large-trivial","observe, power_down, sell, stop","Same 9-building base flips NORTH (y=12) or SOUTH (y=28) by seed + inert HoldFire e1 spawn-witness per group; $1000","sentinel Construction Yard @(120,20)","no enemy combat","","Commander, this is a load-shedding drill with seed-rotated staging. One Power Plant (+100 power) carries NINE drainers totalling −180 (net surplus −80). Your base latitude flips between NORTH (y=12) and SOUTH (y=28) by seed. The building IDs you must power-down sit at spawn-specific cells — read them from the observation. No single power-down closes the gap; combinations required. Use `power_down` (a reversible toggle) so net surplus reaches 0; do NOT sell anything; do NOT power-down the Power Plant. Deadline about 36 turns.","Surplus ≥ 0 AND provided ≥ 100 AND all 9 buildings stand, within 3240 ticks.","Construction Yard or Refinery destroyed, or deadline (3241 ticks).","36","3243","1000","no builds — power_down toggle only","ok (toggle-only, no build chain)","clean",""
"build-power-online-first","easy","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, stop","Construction Yard @(20,20); $1900","sentinel Construction Yard @(120,20)","no enemy combat","","Commander, this is a grid bring-up drill. You start with ONE building — a Construction Yard — and $1900. There is no Power Plant, no Refinery, no infantry. Stand up a Power Plant (Power Plant, cost 300) and an Ore Refinery (cost 1400), in that order — the Refinery requires power as an engine prerequisite. About 40 turns. Stalling, attempting the Refinery before the Power Plant, or building an army instead all miss the clock.","then-latch: own a Power Plant → own a Refinery, within 3600 ticks.","Construction Yard destroyed, or deadline (3601 ticks).","40","3603","1900","powr → proc","ok (34s critical-path, 40 turns budget)","clean",""
"build-power-online-first","medium","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, stop","Construction Yard @(20,20); $1750 (tighter — $50 slack over $1700 minimal chain)","sentinel Construction Yard @(120,20)","no enemy combat","","Commander, this is a grid bring-up drill on a tight budget. You start with one Construction Yard and $1750 — exactly $50 over the cost of a Power Plant plus a Refinery. Build the Power Plant ($300) first, then the Refinery ($1400) — the Refinery requires power. Tighter clock about 32 turns. Wrong-order or wasted-cash attempts overrun.","then-latch: Power Plant → Refinery, within 2880 ticks.","Construction Yard destroyed, or deadline (2881 ticks).","32","2883","1750","powr → proc","ok (34s critical-path, 32 turns budget — tight)","clean",""
"build-power-online-first","hard","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, stop","Construction Yard flips NORTH (y=12) or SOUTH (y=28) by seed + inert HoldFire e1 spawn-witness per group; $1750","sentinel Construction Yard @(120,20)","no enemy combat","","Commander, this is a grid bring-up drill on a tight budget with seed-rotated staging. One Construction Yard, $1750 (just $50 over the minimal chain), no power, no economy. Your yard may sit in the NORTH or SOUTH band — read its position, build the Power Plant adjacent to it, then the Refinery (which requires power). About 32 turns.","then-latch: Power Plant → Refinery, within 2880 ticks.","Construction Yard destroyed, or deadline (2881 ticks).","32","2883","1750","powr → proc","ok (34s critical-path, 32 turns budget — tight)","clean",""
"build-production-throughput-multibuilding","easy","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, stop","fact + 2× powr + proc + fix + ONE weap @(10..19, 20-23); $9000","sentinel Construction Yard @(120,20)","no enemy combat — pure throughput test","","Commander, this is a manufacturing-throughput drill. Your base — Construction Yard, two Power Plants, Refinery, Service Depot, and ONE War Factory — has $9000 cash. Field SIX Medium Tanks within about 30 turns. One War Factory is a single serial production line and cannot meet the quota alone. Cash covers a SECOND War Factory ($2000). Production buildings of the same category run in parallel (a second factory doubles the per-tick output of the Vehicle queue). The deadline is the binding constraint, not money.","≥6 Medium Tanks AND Construction Yard standing, within 2700 ticks.","Construction Yard destroyed, or deadline (2701 ticks).","35","3153","9000","weap (2nd factory) + 2tnk × 6","build-time-over-budget:48s>35t (single-factory) — DESIGNS for parallel: with 2 weap saturated the effective time is ~24-26s, fits","clean","build-time-over-budget:48s>35t"
"build-production-throughput-multibuilding","medium","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, stop","Same base — fact + 2× powr + proc + fix + ONE weap; $9000","sentinel Construction Yard @(120,20)","no enemy combat","","Commander, this is a manufacturing-throughput drill at a tighter deadline. Same base — Construction Yard, two Power Plants, Refinery, Service Depot, ONE War Factory — and $9000. Field SIX Medium Tanks within about 29 turns (tick 2613). One factory hits the 5-tank mark by the deadline but not 6. Build a second War Factory and saturate both queues.","≥6 Medium Tanks AND Construction Yard standing, within 2613 ticks.","Construction Yard destroyed, or deadline (2614 ticks).","33","2973","9000","weap (2nd factory) + 2tnk × 6","build-time-over-budget:48s>33t — parallel weap is the design","clean","build-time-over-budget:48s>35t"
"build-production-throughput-multibuilding","hard","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, stop","Same base flips NORTH (y=14) or SOUTH (y=26) by seed + inert HoldFire e1 spawn-witness per group; $9000","sentinel Construction Yard @(120,20)","no enemy combat","","Commander, this is a manufacturing-throughput drill with seed-rotated staging. Same base — Construction Yard, two Power Plants, Refinery, Service Depot, one War Factory — at either NORTH (y=14) or SOUTH (y=26) depending on seed. $9000. Field SIX Medium Tanks within about 29 turns. Read your War Factory's position; build the second factory adjacent to it.","≥6 Medium Tanks AND Construction Yard standing, within 2613 ticks.","Construction Yard destroyed, or deadline (2614 ticks).","33","2973","9000","weap (2nd factory) + 2tnk × 6","build-time-over-budget:48s>33t — parallel weap is the design","clean","build-time-over-budget:48s>35t"
"build-rally-point-management","easy","action","rush-hour-arena","128x40","large-trivial","observe, build, set_rally_point, stop","Construction Yard @(20,20) + Power Plant @(22,22) + Barracks @(24,22); $1500","enemy Barracks @(62,20) (unarmed kill target) + sentinel Construction Yard @(120,20)","enemy barr unarmed; matches briefing — far-east marker has no return fire","","Commander, this is a production-logistics drill. Your base — Construction Yard, Power Plant, Barracks — sits at (20,20) with $1500. An enemy Barracks (unarmed kill target) sits at the forward zone (62,20), roughly 38 cells east. Get at least three of your own units into a radius-5 disc around (62,20) and kill one enemy, within about 30 turns. By default, units produced from the Barracks pile up next to it; you have one tool that re-routes EVERY subsequent unit (a building-scoped rally point order) plus the cheap rifle infantry training.","≥3 units within radius 5 of (62,20) AND ≥1 enemy killed, within 2700 ticks.","Construction Yard destroyed, or deadline (2701 ticks).","30","2703","1500","e1 × 3+ (no factory build chain — train only)","ok (e1 5s × 3 = 15s, plus march ~38 cells)","clean",""
"build-rally-point-management","medium","action","rush-hour-arena","128x40","large-trivial","observe, build, set_rally_point, stop","Same base — fact + powr + tent @(20-24, 20-22); $1500","enemy Barracks @(62,20) + sentinel Construction Yard @(120,20)","enemy barr unarmed","","Commander, this is a production-logistics drill with a tighter clock. Same base (Construction Yard, Power Plant, Barracks at (20,20)..(24,22)) and $1500. Same enemy Barracks at the forward zone (62,20). Three of your units in the disc, one enemy killed, within about 21 turns. A few stall turns before re-routing production miss the window.","≥3 units within radius 5 of (62,20) AND ≥1 enemy killed, within 1900 ticks.","Construction Yard destroyed, or deadline (1901 ticks).","22","1983","1500","e1 × 3+","ok (e1 5s × 3 = 15s; tight march budget)","clean",""
"build-rally-point-management","hard","action","rush-hour-arena","128x40","large-trivial","observe, build, set_rally_point, stop","Same base flips NORTH (y=14-16) or SOUTH (y=26-28) by seed + inert HoldFire e1 spawn-witness per group; $1500","enemy Barracks @(62,20) at centreline (always places) + sentinel Construction Yard @(120,20)","enemy barr unarmed","","Commander, this is a production-logistics drill with seed-rotated staging. Your base — Construction Yard, Power Plant, Barracks — may sit in the NORTH (y≈16) or SOUTH (y≈28) band depending on seed. $1500. The forward zone (62,20) on the centreline is fixed; the enemy Barracks is parked there for both seeds. Three of your units in the disc, one enemy killed, within about 21 turns.","≥3 units within radius 5 of (62,20) AND ≥1 enemy killed, within 1900 ticks.","Construction Yard destroyed, or deadline (1901 ticks).","22","1983","1500","e1 × 3+ (latitude-varied origin)","ok (e1 5s × 3 = 15s; tight march budget)","clean",""
