pack,level,classification,leak_phrases,rewrite_suggestion
action-multiunit-coordination,easy,MEDIUM,"""Split your force into two groups and hit both at the same time, because a one-at-a-time push will not beat the clock.""","Drop the explicit ""split into two groups"" instruction and the ""one-at-a-time won't work"" negative-policy hint; let the model derive parallel dispatch from the deadline."
action-multiunit-coordination,medium,MEDIUM,"""Split your force into three groups, drive in parallel, and hold losses to no more than two.""","Drop the ""split into three groups, drive in parallel"" verb sequence; state forces + region predicates + deadline and let the model derive."
action-multiunit-coordination,hard,MEDIUM,"""Push columns toward each direction to scout for them; the instant a unit spots a target you will be interrupted and shown its exact location.""","Drop the strategy instruction (""push columns toward each direction""); just say the targets are fogged and that spotting triggers an interrupt revealing the location."
action-sequenced-execution,easy,MEDIUM,"""Drive your column through the route in order and do not let the tanks sit idle between stops — issue the next move the instant a unit reaches the previous stop.""","Drop the explicit ""issue next move immediately"" execution hint; state the ordered route + deadline only."
action-sequenced-execution,medium,MEDIUM,"""Drive both columns in parallel, do not halt between stops, and hold losses to one or fewer.""","Drop the ""drive both columns in parallel"" + ""do not halt between stops"" execution-style hints."
action-sequenced-execution,hard,MEDIUM,"""Drive both routes in parallel and hold losses to one or fewer.""","Drop ""drive both routes in parallel""; state the two ordered routes + attrition cap + deadline."
combat-attack-from-behind-fog,easy,HEAVY,"""Driving head-on through the corridor will burn the clock without reaching the yard at (48,20) behind the line."" | ""A clear NORTH fog lane runs above the central walls; take it, swing east past the line's longitude, then turn south to destroy the yard.""","Full rewrite needed: drop the negative-policy hint about head-on AND the step-by-step flank instructions; just describe forces + objective + fog state."
combat-attack-from-behind-fog,medium,HEAVY,"""A head-on push cooks the column in overlapping kill envelopes."" | ""Take one of them, drive east past the line's longitude, then turn in to destroy the yard at (48,20).""","Full rewrite: remove the negative outcome description (""cooks the column"") and the explicit flank routing."
combat-attack-from-behind-fog,hard,HEAVY,"""A head-on charge dies in the crossfire."" | ""Loop wide via your nearest fog lane (north y=2..5 if you staged north, south y=35..37 if you staged south), drive east past the line, then turn in to destroy the enemy yard at (48,20).""","Full rewrite: remove explicit ""loop wide"" routing instructions and the negative-policy outcome."
combat-bait-counter-attack,easy,CLEAN,"","No leak; trimmed description stays factual (""three leashed rocket-infantry guards wall the west face... destroy the yard"")."
combat-bait-counter-attack,medium,CLEAN,"","No leak; trimmed description stays factual."
combat-bait-counter-attack,hard,CLEAN,"","No leak; trimmed description stays factual."
combat-divide-and-conquer,easy,HEAVY,"""A straight east push along y=20 puts the lead tank under fire from both teams at once and the column bleeds."" | ""Flank wide north (or south) to break line-of-sight on the far team, destroy the near team in isolation, then pivot to the other flank and finish the second team.""","Full rewrite: drop the negative-policy description and the explicit ""flank wide, destroy near team, then pivot"" sequence."
combat-divide-and-conquer,medium,HEAVY,"""A head-on midpoint push eats fire from both teams at once."" | ""Flank wide, destroy one team in isolation, then pivot to the other side and finish the second.""","Full rewrite: drop negative-policy and explicit flank/sequence instructions."
combat-divide-and-conquer,hard,HEAVY,"""A straight east push through the middle corridor's choke gets cooked."" | ""Engage your near corridor's team first, traverse to the opposite corridor via the open west sliver, then engage the remaining teams.""","Full rewrite: drop the negative-policy hint and the explicit sequencing through corridors."
combat-flanking-attack,easy,HEAVY,"""Driving through the funnel will destroy the column."" | ""A clear NORTH detour lane runs above the water; take it to swing around and hit the line from the side.""","Full rewrite: drop the negative outcome AND the ""take the north detour to flank from the side"" instruction."
combat-flanking-attack,medium,HEAVY,"""The funnel is a kill zone; do not drive through it."" | ""Open detour lanes run above (north) and below (south) the water; take one of them and hit the line from the side.""","Full rewrite: same as easy; remove negative-policy and routing instruction."
combat-flanking-attack,hard,HEAVY,"""The funnel is a kill zone."" | ""Both groups must come around the open ground above and below the water and hit the wall from the sides at the same time.""","Full rewrite: remove ""funnel is kill zone"" + the explicit ""come around / hit from sides at same time"" pincer instruction."
combat-focus-fire-priority,easy,MILD,"""The rocket soldiers are the priority threat.""","Drop the ""priority threat"" naming — let the model infer threat ranking from weapon descriptions."
combat-focus-fire-priority,medium,MILD,"""The rocket soldiers are the priority threat.""","Drop the ""priority threat"" naming."
combat-focus-fire-priority,hard,MILD,"""Rockets are the priority threat.""","Drop the ""priority threat"" naming."
