pack,tier,seed,outcome,bucket,subbucket,evidence,recommendation,sample_size
action-multiunit-coordination,hard,2,draw,SCENARIO,S.2,"engine ended at turn 32/tick 2643 (kills=3) before within_ticks=3300; 2 of 3 region predicates met, 3rd never reached because run terminated early",Add anti-auto-done sentinel (far-corner unarmed enemy fact/barr) or convert deadline-without-completion into explicit fail clause,1
action-sequenced-execution,easy,1,loss,MODEL,M.2,"wrong tactic: progress=0.49 after 28 turns, kills=1 lost=0 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),1
action-sequenced-execution,hard,1,loss,MODEL,M.2,"wrong tactic: progress=0.50 after 63 turns, kills=0 lost=1 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),4
action-sequenced-execution,hard,2,loss,MODEL,M.2,"wrong tactic: progress=0.50 after 66 turns, kills=0 lost=1 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),4
action-sequenced-execution,hard,3,loss,MODEL,M.2,"wrong tactic: progress=0.37 after 63 turns, kills=0 lost=2 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),4
action-sequenced-execution,hard,4,loss,MODEL,M.2,"wrong tactic: progress=0.50 after 66 turns, kills=0 lost=0 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),4
combat-attack-from-behind-fog,medium,1,loss,MODEL,M.2,"wrong tactic: progress=0.56 after 8 turns, kills=0 lost=2 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),1
combat-attack-from-behind-fog,hard,1,loss,MODEL,M.1,"passivity: 3/10 turns were observe-only (30%); progress=0.56, kills=0, lost=2, final_tick=468",Accept as model passivity gap (legitimate eval signal),3
combat-attack-from-behind-fog,hard,2,loss,MODEL,M.2,"wrong tactic: progress=0.56 after 9 turns, kills=0 lost=2 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),3
combat-attack-from-behind-fog,hard,3,loss,MODEL,M.1,"passivity: 3/10 turns were observe-only (30%); progress=0.56, kills=0, lost=2, final_tick=468",Accept as model passivity gap (legitimate eval signal),3
combat-bait-counter-attack,easy,1,loss,MODEL,M.2,"wrong tactic: progress=0.58 after 18 turns, kills=2 lost=4 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),1
combat-bait-counter-attack,medium,1,loss,MODEL,M.2,"wrong tactic: progress=0.56 after 14 turns, kills=1 lost=3 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),1
combat-bait-counter-attack,hard,1,loss,MODEL,M.2,"wrong tactic: progress=0.56 after 13 turns, kills=2 lost=3 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),4
combat-bait-counter-attack,hard,2,loss,MODEL,M.2,"wrong tactic: progress=0.56 after 15 turns, kills=1 lost=3 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),4
combat-bait-counter-attack,hard,3,loss,MODEL,M.2,"wrong tactic: progress=0.56 after 16 turns, kills=3 lost=3 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),4
combat-bait-counter-attack,hard,4,loss,MODEL,M.2,"wrong tactic: progress=0.56 after 17 turns, kills=3 lost=3 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),4
combat-divide-and-conquer,easy,1,loss,MODEL,M.5,"fixated on subtask / partial execution: progress=0.73 after 11 turns, kills=1 lost=2 cash=0; reached 70-85% of win threshold but did not close the gap (likely one sub-objective ignored)",Accept as model focus-failure gap,1
combat-divide-and-conquer,medium,1,loss,MODEL,M.2,"wrong tactic: progress=0.67 after 13 turns, kills=0 lost=2 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),1
combat-divide-and-conquer,hard,2,loss,MODEL,M.2,"wrong tactic: progress=0.61 after 19 turns, kills=1 lost=3 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),3
combat-divide-and-conquer,hard,3,loss,MODEL,M.2,"wrong tactic: progress=0.69 after 18 turns, kills=1 lost=2 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),3
combat-divide-and-conquer,hard,4,loss,MODEL,M.4,"close miss: progress=0.89, kills=8, lost=2, cash=0, turns=19; one predicate clause missed (e.g. cash band / unit count threshold)",Accept as model close-miss gap (consider tightening / loosening predicate to discriminate),3
combat-flanking-attack,easy,1,draw,SCENARIO,S.3,easy:1 ended draw at turn 26 (6 observe turns); model stalled — fail clause did not fire on passivity; 4-tank survival-floor knife-edge with no fail-on-stall,Add explicit fail_condition any_of with after_ticks + not full_objective so stall is LOSS not DRAW,1
combat-flanking-attack,medium,1,loss,MODEL,M.1,"passivity: 6/12 turns were observe-only (50%); progress=0.56, kills=0, lost=2, final_tick=648",Accept as model passivity gap (legitimate eval signal),1
combat-flanking-attack,hard,1,loss,MODEL,M.4,"close miss: progress=0.94, kills=5, lost=3, cash=0, turns=19; one predicate clause missed (e.g. cash band / unit count threshold)",Accept as model close-miss gap (consider tightening / loosening predicate to discriminate),3
combat-flanking-attack,hard,2,loss,MODEL,M.1,"passivity: 18/40 turns were observe-only (45%); progress=0.73, kills=1, lost=1, final_tick=3033",Accept as model passivity gap (legitimate eval signal),3
combat-flanking-attack,hard,4,loss,MODEL,M.1,"passivity: 10/18 turns were observe-only (56%); progress=0.61, kills=0, lost=3, final_tick=633",Accept as model passivity gap (legitimate eval signal),3
combat-focus-fire-priority,medium,1,draw,SCENARIO,S.1,"medium:1 draw at turn 30/budget; pack runs in interrupt mode, per-turn tick advance variable; within_ticks 2700 not reachable in 30 turns under interrupt budget",Raise max_turns or relax within_ticks so deadline bites within max_turns × (variable per-turn ticks under interrupt mode),1
combat-focus-fire-priority,hard,1,loss,MODEL,M.5,"fixated on subtask / partial execution: progress=0.71 after 34 turns, kills=2 lost=1 cash=0; reached 70-85% of win threshold but did not close the gap (likely one sub-objective ignored)",Accept as model focus-failure gap,2
combat-focus-fire-priority,hard,4,loss,MODEL,M.2,"wrong tactic: progress=0.67 after 31 turns, kills=0 lost=0 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),2
combat-formation-tank-wedge,medium,1,loss,MODEL,M.2,"wrong tactic: progress=0.58 after 11 turns, kills=2 lost=3 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),1
combat-formation-tank-wedge,hard,1,loss,MODEL,M.2,"wrong tactic: progress=0.60 after 23 turns, kills=3 lost=3 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),4
combat-formation-tank-wedge,hard,2,loss,MODEL,M.2,"wrong tactic: progress=0.67 after 13 turns, kills=4 lost=3 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),4
combat-formation-tank-wedge,hard,3,loss,MODEL,M.2,"wrong tactic: progress=0.42 after 21 turns, kills=0 lost=3 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),4
combat-formation-tank-wedge,hard,4,loss,MODEL,M.2,"wrong tactic: progress=0.60 after 14 turns, kills=3 lost=3 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),4
combat-harass-aggro-commit,medium,1,loss,MODEL,M.1,"passivity: 12/17 turns were observe-only (71%); progress=0.33, kills=0, lost=3, final_tick=1443",Accept as model passivity gap (legitimate eval signal),1
combat-harass-aggro-commit,hard,1,loss,MODEL,M.1,"passivity: 39/43 turns were observe-only (91%); progress=0.39, kills=1, lost=3, final_tick=3783",Accept as model passivity gap (legitimate eval signal),2
combat-harass-aggro-commit,hard,3,loss,MODEL,M.1,"passivity: 19/25 turns were observe-only (76%); progress=0.39, kills=1, lost=3, final_tick=2163",Accept as model passivity gap (legitimate eval signal),2
combat-harass-balanced-hit-and-run,easy,1,loss,MODEL,M.1,"passivity: 3/9 turns were observe-only (33%); progress=0.67, kills=3, lost=2, final_tick=723",Accept as model passivity gap (legitimate eval signal),1
combat-harass-balanced-hit-and-run,medium,1,loss,MODEL,M.2,"wrong tactic: progress=0.56 after 8 turns, kills=2 lost=1 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),1
combat-harass-balanced-hit-and-run,hard,1,loss,MODEL,M.2,"wrong tactic: progress=0.67 after 9 turns, kills=3 lost=1 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),4
combat-harass-balanced-hit-and-run,hard,2,loss,MODEL,M.2,"wrong tactic: progress=0.56 after 9 turns, kills=2 lost=2 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),4
combat-harass-balanced-hit-and-run,hard,3,loss,MODEL,M.2,"wrong tactic: progress=0.56 after 8 turns, kills=2 lost=1 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),4
combat-harass-balanced-hit-and-run,hard,4,loss,MODEL,M.1,"passivity: 21/30 turns were observe-only (70%); progress=0.67, kills=3, lost=2, final_tick=2613",Accept as model passivity gap (legitimate eval signal),4
combat-hold-chokepoint,easy,1,loss,MODEL,M.2,"wrong tactic: progress=0.63 after 15 turns, kills=6 lost=2 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),1
combat-hold-chokepoint,hard,3,loss,MODEL,M.2,"wrong tactic: progress=0.56 after 15 turns, kills=4 lost=3 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),1
combat-kite-and-pull,easy,1,loss,MODEL,M.2,"wrong tactic: progress=0.33 after 10 turns, kills=0 lost=1 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),1
combat-kite-jeep-vs-tank,easy,1,loss,MODEL,M.1,"passivity: 4/11 turns were observe-only (36%); progress=0.56, kills=0, lost=1, final_tick=903",Accept as model passivity gap (legitimate eval signal),1
combat-kite-jeep-vs-tank,hard,1,loss,MODEL,M.2,"wrong tactic: progress=0.56 after 9 turns, kills=0 lost=1 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),3
combat-kite-jeep-vs-tank,hard,2,loss,MODEL,M.2,"wrong tactic: progress=0.56 after 8 turns, kills=0 lost=1 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),3
combat-kite-jeep-vs-tank,hard,4,loss,MODEL,M.2,"wrong tactic: progress=0.56 after 9 turns, kills=0 lost=1 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),3
combat-prevent-retreat,easy,1,loss,MODEL,M.1,"passivity: 4/10 turns were observe-only (40%); progress=0.33, kills=0, lost=3, final_tick=633",Accept as model passivity gap (legitimate eval signal),1
combat-prevent-retreat,medium,1,loss,MODEL,M.2,"wrong tactic: progress=0.42 after 13 turns, kills=0 lost=2 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),1
combat-protect-vip-escort,easy,1,loss,MODEL,M.2,"wrong tactic: progress=0.33 after 9 turns, kills=0 lost=1 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),1
combat-protect-vip-escort,medium,1,loss,MODEL,M.2,"wrong tactic: progress=0.33 after 9 turns, kills=0 lost=1 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),1
combat-protect-vip-escort,hard,2,loss,MODEL,M.2,"wrong tactic: progress=0.33 after 9 turns, kills=0 lost=1 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),3
combat-protect-vip-escort,hard,3,loss,MODEL,M.2,"wrong tactic: progress=0.33 after 11 turns, kills=0 lost=2 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),3
combat-protect-vip-escort,hard,4,loss,MODEL,M.2,"wrong tactic: progress=0.33 after 10 turns, kills=0 lost=1 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),3
combat-retreat-after-engagement,easy,1,loss,MODEL,M.2,"wrong tactic: progress=0.50 after 10 turns, kills=1 lost=3 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),1
combat-retreat-after-engagement,medium,1,loss,MODEL,M.2,"wrong tactic: progress=0.42 after 8 turns, kills=1 lost=3 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),1
combat-retreat-after-engagement,hard,2,loss,MODEL,M.2,"wrong tactic: progress=0.33 after 9 turns, kills=0 lost=2 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),2
