pack,level,capability,file,reviewed,edited,map_fit,max_turns,has_fail,tick_budget_ok,issues
adversarial-siege,easy,adversarial,adversarial-siege.yaml,yes,yes,fit,60,yes,yes,OK
adversarial-siege,medium,adversarial,adversarial-siege.yaml,yes,yes,fit,75,yes,yes,OK
adversarial-siege,hard,adversarial,adversarial-siege.yaml,yes,yes,fit,85,yes,yes,OK
adversarial-skirmish,easy,adversarial,adversarial-skirmish.yaml,yes,yes,fit,60,yes,yes,OK
adversarial-skirmish,medium,adversarial,adversarial-skirmish.yaml,yes,yes,fit,70,yes,yes,OK
adversarial-skirmish,hard,adversarial,adversarial-skirmish.yaml,yes,yes,fit,80,yes,yes,OK
artofwar-decoy-sacrifice,easy,reasoning,artofwar-decoy-sacrifice.yaml,yes,no,fit,66,yes,yes,OK
artofwar-decoy-sacrifice,medium,reasoning,artofwar-decoy-sacrifice.yaml,yes,no,fit,76,yes,yes,OK
artofwar-decoy-sacrifice,hard,reasoning,artofwar-decoy-sacrifice.yaml,yes,no,fit,84,yes,yes,OK
action-multiunit-coordination,easy,action,action-multiunit-coordination.yaml,yes,no,fit,30,yes,yes,OK
action-multiunit-coordination,medium,action,action-multiunit-coordination.yaml,yes,no,fit,36,yes,yes,OK
action-multiunit-coordination,hard,action,action-multiunit-coordination.yaml,yes,no,fit,36,yes,yes,OK
action-sequenced-execution,easy,action,action-sequenced-execution.yaml,yes,no,fit,30,yes,yes,OK
action-sequenced-execution,medium,action,action-sequenced-execution.yaml,yes,no,fit,36,yes,yes,OK
action-sequenced-execution,hard,action,action-sequenced-execution.yaml,yes,no,fit,70,yes,yes,OK
adv-asymmetric-weaker-must-win,easy,reasoning,adv-asymmetric-weaker-must-win.yaml,yes,no,fit,61,yes,yes,OK
adv-asymmetric-weaker-must-win,medium,reasoning,adv-asymmetric-weaker-must-win.yaml,yes,no,fit,61,yes,yes,OK
adv-asymmetric-weaker-must-win,hard,reasoning,adv-asymmetric-weaker-must-win.yaml,yes,no,fit,51,yes,yes,OK
adv-rps-counter-pick,easy,reasoning,adv-rps-counter-pick.yaml,yes,no,fit,61,yes,yes,OK
adv-rps-counter-pick,medium,reasoning,adv-rps-counter-pick.yaml,yes,no,fit,61,yes,yes,OK
adv-rps-counter-pick,hard,reasoning,adv-rps-counter-pick.yaml,yes,no,fit,61,yes,yes,OK
